collection_number,genus,species,collection_site,its_type,its_accesion,rbclx_cluster,rbclx_type,rbclx_accession,nifv_type,nifv_accession,rpoc_type,rpoc_accession,trnl_type,trnl_accession
HOB020708-66-5-2,Peltigera,neocanina,Spahats Creek,1,FJ708916,I,4,KC437735,10,KC438016,4,KC438130,24,KC438246
HOB020708-66-5-3,Peltigera,kristinssonii,Spahats Creek,4,FJ708953,VI,2,KC437766,1,KC437974,2,KC438094,11,KC438210
HOB020708-66-5-4,Peltigera,kristinssonii,Spahats Creek,1,FJ708939,VI,2,KC437752,2,KC437958,2,KC438078,11,KC438194
HOB020708-66-5-5,Peltigera,kristinssonii,Spahats Creek,1,FJ708940,VI,2,KC437753,2,KC437959,2,KC438079,11,KC438195
HOB020708-66-5-6,Peltigera,aphthosa,Spahats Creek,1,FJ708829,VI,2,KC437660,2,KC437935,1,KC438056,11,KC438171
HOB020708-66-5-7,Peltigera,britannica,Spahats Creek,3,FJ708850,VI,2,KC437674,1,KC437938,2,KC438058,11,KC438174
HOB020708-66-5-8,Peltigera,britannica,Spahats Creek,3,FJ708851,VI,2,KC437675,1,KC437939,2,KC438059,11,KC438175
HOB020708-66-5-9,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709020,VI,2,KC437823,1,KC438000,2,KC438119,11,KC438235
HOB020708-66-9-1,Peltigera,neocanina,Spahats Creek,1,FJ708917,V,1,KC437736,6,KC437924,3,KC438045,7,KC438160
HOB020708-66-9-10,Peltigera,aphthosa,Spahats Creek,1,FJ708830,IV,21,KC437661,,,6,KC438150,15,KC438266
HOB020708-66-9-2,Peltigera,neocanina,Spahats Creek,1,FJ708918,V,1,KC437737,6,KC437925,3,KC438046,7,KC438161
HOB020708-66-9-3,Peltigera,neocanina,Spahats Creek,1,FJ708919,V,1,KC437738,6,KC437926,3,KC438047,7,KC438162
HOB020708-66-9-4,Peltigera,neocanina,Spahats Creek,1,FJ708920,V,1,KC437739,6,KC437927,3,KC438048,7,KC438163
HOB020708-66-9-5,Peltigera,neocanina,Spahats Creek,1,FJ708921,V,1,KC437740,6,KC437928,3,KC438049,7,KC438164
HOB020708-66-9-6,Peltigera,aphthosa,Spahats Creek,1,FJ708831,IV,21,KC437662,,,6,KC438151,15,KC438267
HOB020708-66-9-8,Peltigera,aphthosa,Spahats Creek,1,FJ708832,IV,21,KC437663,,,6,KC438152,15,KC438268
HOB020708-70-1-1,Peltigera,kristinssonii,Spahats Creek,1,FJ708941,VI,2,KC437754,14,KC437970,1,KC438090,18,KC438206
HOB020708-70-1-10,Peltigera,leucophlebia Clade I,Spahats Creek,1,KC437609,VI,2,KC437860,1,KC437976,2,KC438096,11,KC438212
HOB020708-70-1-3,Peltigera,canina,Spahats Creek,1,FJ708875,VI,2,KC437694,15,KC437941,2,KC438061,20,KC438177
HOB020708-70-1-4,Peltigera,ponojensis,Spahats Creek,2,FJ709040,VI,2,KC437839,2,KC438009,2,KC438123,11,KC438239
HOB020708-70-1-5a,Peltigera,kristinssonii,Spahats Creek,1,KC437637,VI,2,KC437861,2,KC437956,2,KC438076,11,KC438192
HOB020708-70-1-8,Peltigera,venosa,Spahats Creek,1,KC437591,VI,2,KC437862,,,,,,
HOB020708-70-1-9,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708964,I,4,KC437775,10,KC438013,4,KC438127,17,KC438243
HOB020708-70-5-2,Peltigera,canina,Spahats Creek,1,FJ708876,VI,2,KC437695,15,KC437942,2,KC438062,20,KC438178
HOB020708-70-5-3,Peltigera,malacea,Spahats Creek,1,FJ708864,III,7,KC437686,13,KC438024,10,KC438138,21,KC438254
HOB020708-70-5-4,Peltigera,malacea,Spahats Creek,1,FJ708865,III,9,KC437687,16,KC438027,7,KC438140,22,KC438257
HOB020708-70-5-5,Peltigera,malacea,Spahats Creek,1,FJ708866,III,9,KC437688,16,KC438028,7,KC438141,22,KC438258
HOB020708-70-5-6,Peltigera,malacea,Spahats Creek,1,FJ708867,III,7,KC437689,13,KC438025,10,KC438139,21,KC438255
HOB020708-70-5-7,Peltigera,kristinssonii,Spahats Creek,1,FJ708942,VI,2,KC437755,4,KC437960,1,KC438080,11,KC438196
HOB020708-70-5-8,Peltigera,kristinssonii,Spahats Creek,1,FJ708943,VI,2,KC437756,14,KC437971,1,KC438091,18,KC438207
HOB020708-70-5-9,Peltigera,kristinssonii,Spahats Creek,1,FJ708944,VI,2,KC437757,14,KC437972,1,KC438092,18,KC438208
HOB020708-70-9-1,Peltigera,kristinssonii,Spahats Creek,1,FJ708945,VI,2,KC437758,2,KC437966,2,KC438086,13,KC438202
HOB020708-70-9-10,Peltigera,aphthosa,Spahats Creek,2,KC437616,VI,2,KC437863,12,KC437937,2,KC438057,11,KC438173
HOB020708-70-9-2,Peltigera,kristinssonii,Spahats Creek,1,FJ708946,VI,2,KC437759,1,KC437961,2,KC438081,11,KC438197
HOB020708-70-9-3,Peltigera,kristinssonii,Spahats Creek,1,FJ708947,VI,2,KC437760,2,KC437967,2,KC438087,13,KC438203
HOB020708-70-9-4,Peltigera,kristinssonii,Spahats Creek,1,FJ708948,VI,2,KC437761,1,KC437962,2,KC438082,11,KC438198
HOB020708-70-9-5,Peltigera,kristinssonii,Spahats Creek,1,FJ708949,VI,2,KC437762,2,KC437968,2,KC438088,13,KC438204
HOB020708-70-9-6,Peltigera,kristinssonii,Spahats Creek,1,FJ708950,VI,2,KC437763,2,KC437969,2,KC438089,13,KC438205
HOB020708-70-9-7,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708965,VI,2,KC437776,12,KC437983,2,KC438103,11,KC438219
HOB020708-70-9-8,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708966,VI,2,KC437777,12,KC437984,2,KC438104,11,KC438220
HOB020708-8-1-1,Peltigera,horizontalis,Spahats Creek,1,FJ708930,V,1,KC437744,6,KC437919,3,KC438040,7,KC438155
HOB020708-8-1-10,Peltigera,leucophlebia Clade I,Spahats Creek,2,FJ708978,VI,3,KC437788,,,,,,
HOB020708-8-1-2,Peltigera,fuscopraetextata,Spahats Creek,1,FJ708896,VI,2,KC437715,9,KC437950,8,KC438070,23,KC438186
HOB020708-8-1-4,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709021,VI,2,KC437824,,,,,,
HOB020708-8-1-5,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709022,VI,2,KC437825,4,KC438005,,,,
HOB020708-8-1-7,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708967,VI,2,KC437778,,,,,,
HOB020708-8-1-8,Peltigera,leucophlebia Clade I,Spahats Creek,8,FJ708996,VI,2,KC437802,,,,,,
HOB020708-8-1-9,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709023,VI,30,KC437826,2,KC438038,,,,
HOB020708-8-5-1,Peltigera,horizontalis,Spahats Creek,1,FJ708931,V,11,KC437745,5,KC438029,3,KC438142,7,KC438259
HOB020708-8-5-10,Peltigera,aphthosa,Spahats Creek,1,FJ708833,VI,2,KC437664,,,,,,
HOB020708-8-5-2,Peltigera,horizontalis,Spahats Creek,1,FJ708932,V,11,KC437746,5,KC438030,3,KC438143,7,KC438260
HOB020708-8-5-3,Peltigera,aphthosa,Spahats Creek,1,FJ708834,VI,8,KC437665,,,,,,
HOB020708-8-5-4,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708968,VI,2,KC437779,,,,,,
HOB020708-8-5-5,Peltigera,leucophlebia Clade I,Spahats Creek,5,FJ708990,VI,2,KC437799,,,,,,
HOB020708-8-5-6,Peltigera,leucophlebia Clade I,Spahats Creek,5,FJ708991,VI,2,KC437800,,,,,,
HOB020708-8-5-7,Peltigera,aphthosa,Spahats Creek,1,FJ708835,VI,8,KC437666,,,,,,
HOB020708-8-5-9,Peltigera,aphthosa,Spahats Creek,3,FJ708841,IV,21,KC437668,,,,,,
HOB020708-8-9-1,Peltigera,fuscopraetextata,Spahats Creek,1,FJ708897,VI,2,KC437716,2,KC437949,2,KC438069,13,KC438185
HOB020708-8-9-2,Peltigera,horizontalis,Spahats Creek,1,FJ708933,V,1,KC437747,6,KC437920,3,KC438041,7,KC438156
HOB020708-8-9-3,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709024,VI,2,KC437827,,,,,,
HOB020708-8-9-4,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709025,VI,2,KC437828,,,,,,
HOB020708-8-9-5,Peltigera,aphthosa,Spahats Creek,1,FJ708837,IV,21,KC437667,,,,,,
HOB030611-0-0-2,Nephroma,parile,Battle Creek,1,KC437601,II,5,KC437864,,,,,,
HOB030611-0-0-3,Peltigera,leucophlebia Clade II,Battle Creek,12,FJ709001,VI,2,KC437806,,,,,,
HOB030611-0-0-4,Peltigera,cinnamomea,Battle Creek,2,FJ708912,V,1,KC437731,,,,,,
HOB030611-0-0-5,Peltigera,praetextata,Battle Creek,1,FJ708905,VI,2,KC437724,,,,,,
HOB030611-0-0-6,Peltigera,canina,Battle Creek,2,FJ708881,VI,2,KC437700,,,,,,
HOB030611-0-0-7,Peltigera,canina,Battle Creek,2,FJ708882,VI,2,KC437701,,,,,,
HOB030611-0-10-1,Peltigera,britannica,Battle Creek,1,KC437630,VI,3,KC437865,,,,,,
HOB030611-0-10-2,Peltigera,britannica,Battle Creek,1,FJ708846,VI,3,KC437672,,,,,,
HOB030611-0-10-3,Peltigera,leucophlebia Clade II,Battle Creek,10,FJ708998,VI,2,KC437804,,,,,,
HOB030611-0-10-4,Peltigera,canina,Battle Creek,2,FJ708883,VI,2,KC437702,,,,,,
HOB030611-0-5-1,Peltigera,britannica,Battle Creek,2,KC437617,VI,2,KC437866,,,,,,
HOB030611-0-5-10,Peltigera,cinnamomea,Battle Creek,4,FJ708914,VI,6,KC437733,,,,,,
HOB030611-0-5-2,Peltigera,britannica,Battle Creek,2,KC437618,VI,2,KC437867,,,,,,
HOB030611-0-5-5,Peltigera,leucophlebia Clade II,Battle Creek,12,FJ709002,VI,2,KC437807,,,,,,
HOB030611-0-5-6,Peltigera,polydactylon,Battle Creek,1,FJ709038,VI,6,KC437837,,,,,,
HOB030611-0-5-7,Peltigera,cinnamomea,Battle Creek,5,FJ708915,VI,6,KC437734,,,,,,
HOB030611-0-5-8,Peltigera,praetextata,Battle Creek,2,FJ708906,VI,3,KC437725,,,,,,
HOB030611-10-0-1,Peltigera,britannica,Battle Creek,4,FJ708853,VI,2,KC437677,,,,,,
HOB030611-10-0-3,Peltigera,canina,Battle Creek,2,FJ708884,VI,2,KC437703,,,,,,
HOB030611-10-0-4,Peltigera,species A,Battle Creek,3,FJ708909,VI,2,KC437728,,,,,,
HOB030611-10-0-5,Peltigera,canina,Battle Creek,2,FJ708885,VI,2,KC437704,,,,,,
HOB030611-10-0-6,Peltigera,canina,Battle Creek,2,FJ708886,VI,2,KC437705,,,,,,
HOB030611-10-10-1,Nephroma,parile,Battle Creek,1,KC437602,II,5,KC437868,,,,,,
HOB030611-10-10-3,Peltigera,polydactylon,Battle Creek,1,KC437643,V,1,KC437869,6,KC437930,3,KC438051,7,KC438166
HOB030611-10-10-4,Peltigera,canina,Battle Creek,2,FJ708887,V,1,KC437706,,,,,,
HOB030611-10-10-6,Peltigera,polydactylon,Battle Creek,1,KC437644,V,1,KC437870,6,KC437931,3,KC438052,7,KC438167
HOB030611-10-5-1,Peltigera,leucophlebia Clade I,Battle Creek,2,FJ708980,VI,2,KC437789,,,,,,
HOB030611-10-5-2,Peltigera,canina,Battle Creek,2,FJ708888,VI,6,KC437707,,,,,,
HOB030611-10-5-3,Peltigera,species A,Battle Creek,3,FJ708910,VI,2,KC437729,,,,,,
HOB030611-10-5-4,Peltigera,leucophlebia Clade I,Battle Creek,2,FJ708981,VI,2,KC437790,,,,,,
HOB030611-10-5-5,Peltigera,canina,Battle Creek,2,FJ708889,VI,6,KC437708,,,,,,
HOB030611-10-5-6,Peltigera,leucophlebia Clade I,Battle Creek,2,FJ708982,VI,2,KC437791,,,,,,
HOB030611-10-5-7,Peltigera,leucophlebia Clade I,Battle Creek,2,FJ708983,VI,2,KC437792,,,,,,
HOB030611-5-10-2,Peltigera,leucophlebia Clade I,Battle Creek,1,FJ708969,VI,2,KC437780,,,,,,
HOB030611-5-10-3,Peltigera,leucophlebia Clade I,Battle Creek,2,KC437612,VI,2,KC437871,,,,,,
HOB030611-5-10-4,Peltigera,leucophlebia Clade II,Battle Creek,11,FJ708999,VI,2,KC437805,,,,,,
HOB030611-5-10-5,Peltigera,leucophlebia Clade II,Battle Creek,12,FJ709003,VI,2,KC437808,,,,,,
HOB030611-5-10-6,Peltigera,canina,Battle Creek,4,FJ708891,VI,2,KC437710,,,,,,
HOB030611-5-10-7,Peltigera,praetextata,Battle Creek,2,KC437648,VI,2,KC437872,,,,,,
HOB030611-5-10-8,Peltigera,praetextata,Battle Creek,2,KC437650,I,17,KC437873,,,,,,
HOB030611-5-5-1,Peltigera,britannica,Battle Creek,4,FJ708854,VI,2,KC437678,,,,,,
HOB030611-5-5-2,Peltigera,leucophlebia Clade I,Battle Creek,2,FJ708984,VI,2,KC437793,,,,,,
HOB040605-01-2,Peltigera,membranacea,Cameron Ridge,3,KC437646,NA,15,KC437874,,,,,,
HOB040605-01-3,Peltigera,leucophlebia Clade III,Cameron Ridge,13,KC437620,I,4,KC437875,,,,,,
HOB040605-02-1,Peltigera,neopolydactyla,Cameron Ridge,2,KC437647,VI,24,KC437876,,,,,,
HOB040605-02-2,Peltigera,neocanina,Cameron Ridge,4,KC437635,I,4,KC437877,,,,,,
HOB040605-02-3,Peltigera,britannica,Cameron Ridge,1,KC437631,I,4,KC437878,,,,,,
HOB040605-02-4,Peltigera,leucophlebia Clade I,Cameron Ridge,5,KC437611,IV,21,KC437879,,,,,,
HOB040605-03-1,Peltigera,aphthosa,Ghost Lake,1,KC437627,IV,23,KC437880,,,14,KC438153,15,KC438269
HOB040605-03-2,Peltigera,malacea,Ghost Lake,1,KC437621,III,7,KC437881,,,,,,
HOB040605-04-1,Peltigera,collina,Ghost Lake,1,KC437638,I,13,KC437882,,,11,KC438147,,
HOB040605-04-2,Peltigera,malacea,Ghost Lake,1,KC437628,IV,25,KC437883,17,KC438035,,,16,KC438270
HOB040605-04-3,Peltigera,britannica,Ghost Lake,5,KC437633,IV,19,KC437884,,,6,KC438149,15,KC438264
HOB040605-05-1-1,Nephroma,arcticum,Ghost Lake,2,KC437592,NA,26,KC437885,22,KC438036,,,26,KC438271
HOB040605-05-1-2,Nephroma,arcticum,Ghost Lake,2,KC437593,IV,27,KC437886,20,KC438037,12,KC438154,16,KC438272
HOB040605-05-2-1,Peltigera,leucophlebia Clade I,Ghost Lake,5,KC437610,IV,19,KC437887,,,,,15,KC438265
HOB040605-05-2-2,Peltigera,leucophlebia Clade III,Ghost Lake,13,KC437619,I,4,KC437888,21,KC438014,13,KC438128,25,KC438244
HOB040605-05-3,Peltigera,collina,Ghost Lake,1,KC437639,I,13,KC437889,19,KC438034,11,KC438148,,
HOB040605-06-1,Peltigera,collina,Ghost Lake,1,KC437640,I,13,KC437890,,,,,,
HOB040605-06-2,Nephroma,parile,Ghost Lake,1,KC437603,II,5,KC437891,,,,,,
HOB040605-06-3,Peltigera,britannica,Ghost Lake,6,KC437634,IV,19,KC437892,,,,,,
HOB040605-07-1,Peltigera,collina,Ghost Lake,1,KC437641,I,13,KC437893,,,,,,
HOB040605-07-2,Peltigera,britannica,Ghost Lake,1,KC437632,IV,19,KC437894,,,,,,
HOB040605-07-3,Peltigera,collina,Ghost Lake,1,KC437642,I,13,KC437895,,,,,,
HOB040605-07-4,Peltigera,malacea,Ghost Lake,1,KC437629,III,28,KC437896,,,,,,
HOB040605-09-1,Peltigera,horizontalis,Ghost Lake,1,KC437645,V,1,KC437897,,,,,,
HOB040605-09-2,Peltigera,aphthosa,Ghost Lake,1,KC437624,IV,18,KC437898,,,,,,
HOB040605-10-1,Peltigera,membranacea,Barkersville,2,FJ709034,NA,14,KC437835,,,,,,
HOB040605-10-2,Peltigera,neopolydactyla,Barkersville,1,FJ709036,NA,14,KC437836,,,,,,
HOB040605-10-3,Peltigera,degenii,Barkersville,1,FJ709030,NA,14,KC437831,,,,,,
HOB040605-11-1,Peltigera,leucophlebia Clade I,Barkersville,2,FJ708985,VI,6,KC437794,,,,,,
HOB040605-11-2,Peltigera,cinnamomea,Barkersville,3,FJ708913,VI,6,KC437732,,,,,,
HOB040605-12-1,Peltigera,venosa,Barkersville,2,KC437649,VI,10,KC437899,,,,,,
HOB040605-12-2,Peltigera,leucophlebia Clade I,Barkersville,2,FJ708986,VI,2,KC437795,,,,,,
HOB040605-12-3,Peltigera,cinnamomea,Barkersville,1,FJ708911,V,1,KC437730,,,,,,
HOB040605-12-4,Peltigera,neckeri,Barkersville,2,FJ708929,I,16,KC437743,,,,,,
HOB040605-13-1,Peltigera,leucophlebia Clade I,Barkersville,4,FJ708989,VI,3,KC437798,,,,,,
HOB040605-13-2,Peltigera,neckeri,Barkersville,1,FJ708928,I,4,KC437742,,,,,,
HOB040605-13-3,Peltigera,neocanina,Barkersville,3,KC437636,NA,29,KC437900,,,,,,
HOB040605-13-4,Peltigera,kristinssonii,Barkersville,2,FJ708951,VI,3,KC437764,,,,,,
HOB040605-13-5,Peltigera,leucophlebia Clade I,Barkersville,6,FJ708994,I,20,KC437801 ,,,,,,
