Collection Number,Species,Voucher Information / Collection Site,ITS accession number,rbcLX accession number,rbcLX phylogroup
P3001,P. neopolydactyla 2ac,"Russia, Khabarovsk Territory; F. Lutzoni and J. Miadlikowska L23.1-P3001; DUKE ",XXXXXXXX,XXXXXXXX,V
P3037,P. neopolydactyla 2ac,"Russia, Khabarovsk Territory; F. Lutzoni and J. Miadlikowska 07.26.2013-P3037; DUKE ",YYYYYYYY,YYYYYYYY,V
P1233,P. neopolydactyla 2ac,"USA, Montana; B. McCune 26218; B. McCune Pers. Coll.",YYYYYYYY,YYYYYYYY,XIII
P1591,P. neopolydactyla 2ac,France; N. Magain s.n.; LG,YYYYYYYY,YYYYYYYY,XIII
P1659,P. neopolydactyla 2ac,"Japan, Hokkaido; G. Thor 25720; UPS-519479",KX897242,XXXXXXXX,XIII
P3054,P. neopolydactyla 2ac,"Canada, British Columbia; J. Hollinger 424; UBC",YYYYYYYY,YYYYYYYY,XIII
P3069,P. neopolydactyla 2ac,"Canada, British Columbia?, T. Goward 06-329c; UBC ",XXXXXXXX,XXXXXXXX,XIII
P384,P. neopolydactyla 2ac,Norway; N. Magain s.n.; LG,KX897237,KX922939,XIII
P386,P. neopolydactyla 2ac,Norway; N. Magain s.n.; LG,KX897238,KX922940,XIII
P821,P. neopolydactyla 2ac,Norway; N. Magain s.n.; LG,KX897239,KX922941,XIII
P846,P. neopolydactyla 2ac,Norway; N. Magain s.n.; LG,KX897240,KX922942,XIII
P3008,P. neopolydactyla 2ac,"Russia, Sakhalin; S. Tchabanenko 3080; SAKH ",YYYYYYYY,YYYYYYYY,XVII
P3009,P. neopolydactyla 2ac,"Russia, Sakhalin; S. Tchabanenko 3082; SAKH ",XXXXXXXX,XXXXXXXX,XVII
P1667,P. neopolydactyla 2b,"Japan, Kochi; G. Thor 2127x; UPS-164500",KX897244,XXXXXXXX,VIIb
P3032,P. neopolydactyla 2b,"Russia, Khabarovsk Territory; F. Lutzoni and J. Miadlikowska s.n.; DUKE ",XXXXXXXX,XXXXXXXX,VIIb
N1913,P. neopolydactyla 2b,"China, Yunnan; B. Goffinet 10122; CONN",KX897229,KX922931,X
N1914,P. neopolydactyla 2b,"China, Yunnan; B. Goffinet 10125; CONN",KX897230,KX922932,X
N1916,P. neopolydactyla 2b,"China, Yunnan; B. Goffinet 10126; CONN",KX897231,KX922933,X
N1926,P. neopolydactyla 2b,"China, Yunnan; B. Goffinet 10128; CONN",KX897232,KX922934,X
N1927,P. neopolydactyla 2b,"China, Yunnan; B. Goffinet 10127; CONN",KX897233,KX922935,X
N1929,P. neopolydactyla 2b,"China, Yunnan; B. Goffinet 10120; CONN",KX897234,KX922936,X
P1291,P. neopolydactyla 2b,"China, Yunnan; J. Miadlikowska et al. s.n.; DUKE",KX897241,XXXXXXXX,X
P859,P. neopolydactyla 3,Vietnam; Vo T. P. G. G06-NL86B; B-600144665,KX897247,KX922943,VIIb
P1283,P. neopolydactyla 3,"China, Yunnan; J. Miadlikowska et al. s.n.; DUKE",KX897248,KX922944,X
P1628,P. neopolydactyla 4,"USA, Maine; W. R. Buck 54962; NY-01105128",KX897249,KX922945,IV
P1668,P. neopolydactyla 4,"Japan, Hokkaido; G. Thor 24306; UPS-519471",KX897250,KX922946,IV
P1675,P. neopolydactyla 4,"Japan, Hokkaido; G. Thor 24336; UPS-519493",KX897251,KX922947,IV
P3014,P. neopolydactyla 4,"USA, Michigan; J. Miadlikowska & F. Lutzoni 06.27.2013; DUKE ",YYYYYYYY,YYYYYYYY,IV
P302,P. neopolydactyla 4,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897252,KX897483,IV
P3023,P. neopolydactyla 4,"Canada, Québec R. Darnajoux P3023.; DUKE ",YYYYYYYY,YYYYYYYY,IV
P3024,P. neopolydactyla 4,"Canada, Québec R. Darnajoux P3024.; DUKE ",XXXXXXXX,XXXXXXXX,IV
P321,P. neopolydactyla 4,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897253,KX922949,IV
P591,P. neopolydactyla 4,Norway; N. Magain s.n.; LG,KX897254,KX922950,IV
P811,P. neopolydactyla 4,Norway; N. Magain s.n.; LG,KX897255,KX922951,IV
P1212,P. neopolydactyla 4,Norway; N. Magain s.n.; LG,KX897256,KX922952,XIa
P506,P. neopolydactyla 4,Norway; N. Magain s.n.; LG,KX897257,KX922953,XIa
P669,P. neopolydactyla 4,Norway; N. Magain s.n.; LG,KX897258,KX922954,XIa
P1228,P. neopolydactyla 5,"USA, Oregon; B. McCune 30018; McCune Private Coll.",KX897259,KX922955,XIb
P1232,P. neopolydactyla 5,"USA, Oregon; B. McCune 26873; McCune Private Coll.",KX897260,KX922956,XIb
P1257,P. neopolydactyla 5,"USA, Oregon; J. Hollinger 1385; UBC",KX897261,KX922957,XIb
P1677,P. neopolydactyla 5,"USA, Oregon; B. McCune 26977; McCune Private Coll.",KX897262,KX922958,XIb
P3068,P. neopolydactyla 5,"Canada, British Columbia; T. Goward 09-232; UBC",YYYYYYYY,YYYYYYYY,XIb
P1223,P. neopolydactyla 6,"USA, Oregon; McCune Private Coll.",KX897263,KX922959,XIII
P1231,P. neopolydactyla 6,"USA, Oregon; B. McCune 24160; McCune Private Coll.",KX897264,KX922960,XIII
N1886,P. neopolydactyla 6,"USA, Oregon; B. Goffinet 8056; CONN",KX897265,KX922961,XVII
N1888,P. neopolydactyla 6,"USA, Oregon; B. Goffinet 8049; CONN",KX897266,KX922962,XVII
P1258,P. neopolydactyla 6,"Canada, British Columbia; C. Björk 17289; UBC",KX897267,KX922963,XVII
P3051,P. neopolydactyla 6,"USA, Oregon; J. Hollinger 1386; UBC ",XXXXXXXX,XXXXXXXX,XVII
P3010,P. neopolydactyla 7,"Russia, Sakhalin; S. Tchabanenko 3072; SAKH ",XXXXXXXX,XXXXXXXX,XVII
P108,P. occidentalis,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897268,KX922964,VIIa
P299,P. occidentalis,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897269,KX922965,VIIa
P314,P. occidentalis,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897270,KX922966,VIIa
P410,P. occidentalis,"Russia, Siberia; T. N. Otnyukova s.n.; H",KX897271,KX922967,VIIa
P543,P. occidentalis,Norway; N. Magain s.n.; LG,KX897272,KX922968,VIIa
P571,P. occidentalis,Norway; N. Magain s.n.; LG,KX897273,KX922969,VIIa
P853,P. occidentalis,"USA, Alaska; T. Ahti 63310; H",KX897274,KX922970,VIIa
P1638,P. occidentalis,"USA, North Carolina; Richard C. Harris 52559; NY",KX897275,KX922971,VIIb
P3034,P. occidentalis,"Russia, Khabarovsk Territory; F. Lutzoni and J. Miadlikowska 07.26.2013-P3034; DUKE ",XXXXXXXX,XXXXXXXX,VIIb
P3063,P. occidentalis,"USA, North Carolina; J. Hollinger 2957; UBC",YYYYYYYY,YYYYYYYY,VIIb
P3064,P. occidentalis,"USA, North Carolina; J. Hollinger 1828; UBC",YYYYYYYY,YYYYYYYY,VIIb
P1240,P. pacifica,"Canada, British Columbia; T. Goward 06-23; UBC",KX897280,KX922972,XIII
P1241,P. pacifica,"Canada, British Columbia; C. Björk 17500; UBC",KX897281,KX922973,XIII
P1242,P. pacifica,"Canada, British Columbia; T. Goward 06-1133; UBC",KX897282,KX922974,XIII
P1243,P. pacifica,"Canada, British Columbia; T. Goward 06-1522; UBC",KX897283,KX922975,XIII
P3049,P. pacifica,"Canada, British Columbia; C. Bjork 19562; UBC",YYYYYYYY,YYYYYYYY,XVII
N2069,P. polydactylon ssp. polydactylon,Norway; J. Holtan-Hartwig 528; O,KX365447,KX922976,V
P1213,P. polydactylon ssp. polydactylon,Norway; N. Magain s.n.; LG,KX897285,KX922977,V
P3018,P. polydactylon ssp. polydactylon,Turkey; K. Yazici s.n.;H,KX365432 ,YYYYYYYY,V
P385,P. polydactylon ssp. polydactylon,Norway; N. Magain s.n.; LG,KX365448,KX922979,V
P388,P. polydactylon ssp. polydactylon,Norway; N. Magain s.n.; LG,KX365449,KX922980,V
P682,P. polydactylon ssp. polydactylon,Norway; N. Magain s.n.; LG,KX897287,KX922981,V
P816,P. polydactylon ssp. polydactylon,Norway; N. Magain s.n.; LG,KX897288,KX922983,V
P833,P. polydactylon ssp. polydactylon,Norway; N. Magain s.n.; LG,KX897289,KX922984,V
P856,P. polydactylon ssp. polydactylon,Iran; A. A. Maassoumi 573; B-600114374,KX365446,KX922985,V
P1235,P. polydactylon ssp. udeghe,"USA, Alaska; B. McCune 26434; McCune Private Coll.",KX897286,KX922978,V
P3012,P. polydactylon ssp. udeghe,"Russia, Khabarovsk Territory; J. Miadlikowska & F. Lutzoni 07.30.2013; DUKE",KX365429 ,YYYYYYYY,V
P3015,P. polydactylon ssp. udeghe,"USA, Michigan; J. Miadlikowska & F. Lutzoni 06.27.2013; DUKE ",KX365469 ,XXXXXXXX,V
P3019,P. polydactylon ssp. udeghe,New Zealand; L. Tibell 10710; H,YYYYYYYY,YYYYYYYY,V
P3022,P. polydactylon ssp. udeghe,Australia; H. Streimann 43811; H,KX365427 ,YYYYYYYY,V
P3033,P. polydactylon ssp. udeghe,"Russia, Khabarovsk Territory; J. Miadlikowska & F. Lutzoni 07.30.2013; DUKE",KX365430 ,YYYYYYYY,V
P3048,P. polydactylon ssp. udeghe,"USA, New Mexico; J. Hollinger 2399; UBC",YYYYYYYY,YYYYYYYY,V
P71,P. polydactylon ssp. udeghe,"USA, New Mexico; J. Hollinger 2462; DUKE",KX365444,KX922982,V
P890,P. pulverulenta 1,Bolivia; M. Kukwa 8536; UGDA-17702,KX897290,KX922986,HT41
P1566,P. pulverulenta 1,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34566",KX897292,KX922988,XIX
P897,P. pulverulenta 1,Mexico; M. A. Herrera-Campos 122; MEXU,KX897291,KX922987,XIX
P1572,P. pulverulenta 1,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34445",KX897293,KX922989,XIXb
P928,P. pulverulenta 1,Colombia; R. Lücking MPNNC214; UDBC,KX897294,KX922990,XVa
P900,P. pulverulenta 2,Colombia; R. Lücking 33367; UDBC,KX897299,KX922992,XIX
P1521,P. pulverulenta 2,Colombia; R. Lücking 34028; UDBC,KX897298,KX922991,XIXa
P1522,P. pulverulenta 3,Colombia; R. Lücking 34033; UDBC,KX897300,KX922993,HT34
P1210,P. scabrosa 1,Norway; N. Magain s.n.; LG,KX897301,KX922994,VIIa
P1250,P. scabrosa 1,"Canada, Alberta; J. Hollinger 1066; UBC",KX897302,KX922995,VIIa
P1539,P. scabrosa 1,"Russia, Siberia; J. Miadlikowska et al. s.n.; DUKE",KX897303,KX922996,VIIa
P306,P. scabrosa 1,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897304,KX922997,VIIa
P311,P. scabrosa 1,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897305,KX922998,VIIa
P93,P. scabrosa 1,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897306,KX922999,VIIa
P97,P. scabrosa 1,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897307,KX923000,VIIa
P1328,P. scabrosa 2,"Canada, Nunavik; J. Gagnon; QFA-0594938",KX897401,KX923001,VIId
P1721,P. scabrosa 2,Greenland; E. Sérusiaux s.n.; LG,KX897309,KX923002,VIId
P107,P. scabrosa 2,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897310,KX923003,XIa
P113,P. scabrosa 2,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897311,KX923004,XIa
P1209,P. scabrosa 2,Norway; N. Magain s.n.; LG,KX897312,KX923005,XIa
P1255,P. scabrosa 2,"Canada, British Columbia; C. Björk 16230; UBC",KX897313,KX923006,XIa
P1540,P. scabrosa 2,"Russia, Siberia; J. Miadlikowska et al. s.n.; DUKE",KX897314,KX923007,XIa
P296,P. scabrosa 2,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897315,KX923008,XIa
P3030,P. scabrosa 2,"Canada, Québec R. Darnajoux P3030.; DUKE ",YYYYYYYY,YYYYYYYY,XIa
P520,P. scabrosa 2,Norway; N. Magain s.n.; LG,KX897316,KX923009,XIa
P617,P. scabrosa 2,Norway; N. Magain s.n.; LG,KX897317,KX923010,XIa
P830,P. scabrosa 2,Norway; N. Magain s.n.; LG,KX897318,KX923011,XIa
P865,P. scabrosa 3,"Russia, Yakutia; T. Ahti 65068; H",KX897319,KX923012,VIIa
N1236,P. scabrosa 3,Greenland; E. Sérusiaux s.n.; LG,KX897320,KX923013,VIIc
P1536,P. scabrosa 3,"Russia, Siberia; J. Miadlikowska et al. s.n.; DUKE",KX897321,KX923014,X
P1538,P. scabrosa 3,"Russia, Siberia; J. Miadlikowska et al. s.n.; DUKE",KX897322,KX923015,X
P312,P. scabrosa 4,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897323,KX923016,VIIa
P315,P. scabrosa 4,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897324,KX923017,VIIa
P318,P. scabrosa 4,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897325,KX923018,VIIa
P529,P. scabrosa 4,Norway; N. Magain s.n.; LG,KX897326,KX923019,VIIa
P549,P. scabrosa 4,Norway; N. Magain s.n.; LG,KX897327,KX923020,VIIa
P391,P. scabrosella,Norway; N. Magain s.n.; LG,KX897328,KX923021,XIa
P514,P. scabrosella,Norway; N. Magain s.n.; LG,KX897329,KX923022,XIa
P619,P. scabrosella,Norway; N. Magain s.n.; LG,KX897330,KX923023,XIa
P854,P. scabrosella,Greenland; E. S. Hansen; H-548,KX897331,KX923024,XIa
P905,P. sp.  1,Colombia; R. Lücking 33334; UDBC,KX897333,KX923026,HT40
P889,P. sp.  1,Bolivia; M. Kukwa 9440; UGDA-17715,KX897334,KX923027,XIX
P885,P. sp.  1,Bolivia; M. Kukwa 9276; UGDA-17710,KX897335,KX923028,XIXc
P886,P. sp.  1,Bolivia; M. Kukwa 9327; UGDA-17713,KX897336,KX923029,XIXc
P1652,P. seneca,"Canada, Nova Scotia; NY",KX365450,KX923079,V
P3050,P. seneca,"USA, North Carolina; J. Hollinger 670; UBC ",KX365472 ,XXXXXXXX,V
P450,P. seneca,"USA, Pennsylvania; J. Lendemer 16792; NY",KX365451,KX923080,V
N1532,P. sp.  11,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897391,KX923081,IX
N1533,P. sp.  11,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897392,KX923082,IX
N1537,P. sp.  11,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897393,KX923083,IX
N1547,P. sp.  11,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897394,KX923084,IX
P1555,P. sp.  2a,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34544",KX897338,KX923030,XIXb
P1570,P. sp.  2a,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS- 34526",KX897339,KX923031,XIXb
P907,P. sp.  2a,Colombia; R. Lücking 33361; UDBC,KX897340,KX923032,Xva
P1561,P. sp.  2b,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34399",KX897341,KX923033,V
P1557,P. sp.  2b,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS- 34562",KX897342,KX923034,XIXd
P1583,P. sp.  2b,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS- 34428",KX897343,KX923035,XIXd
P611,P. sp.  3,New Zealand; F. Högnabba 1746; H,KX897344,KX923036,V
P604,P. sp.  3,New Zealand; F. Högnabba 1538; H,KX897346,KX923038,XX
P606,P. sp.  3,New Zealand; S. Stenroos 5942; H,KX897347,KX923039,XX
P607,P. sp.  3,New Zealand; S. Stenroos 5820; H,KX897348,KX923040,XX
P608,P. sp.  3,New Zealand; S. Stenroos 5830; H,KX897349,KX923041,XX
P610,P. sp.  3,New Zealand; F. Högnabba 1575; H,KX897350,KX923042,XX
P612,P. sp.  3,New Zealand; F. Högnabba 1471; H,KX897345,KX923037,XX
N1534,P. sp.  4,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897353,KX923043,VIIb
N1545,P. sp.  5,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897354,KX923044,HT32
P1716,P. sp.  5,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897355,KX923045,X
P1734,P. sp.  6,Peru; N. Magain s.n.; DUKE,KX897356,KX923046,HT35
P1650,P. sp.  6,Honduras; B. Allen 17790; NY,KX897357,KX923047,HT44
P1733,P. sp.  6,Peru; J. Miadlikowska et al. s.n.; DUKE,KX897358,KX923048,HT46
P936,P. sp.  6,Colombia; R. Lücking 33659; UDBC,KX897359,KX923049,XIXb
P942,P. sp.  6,Colombia; R. Lücking 33658; UDBC,KX897360,KX923050,XIXb
N1674,P. sp.  7a,"Canada, British Columbia; T. Tönsberg 20742; BG-34877",KX897361,KX923051,XIa
N1887,P. sp.  7a,"USA, Oregon; B. Goffinet 7966; CONN",KX897362,KX923052,XIa
N1932,P. sp.  7a,"Canada, British Columbia; B. Goffinet 3167; CONN",KX897363,KX923053,XIa
P3055,P. sp.  7a,"Canada, British Columbia; T. Goward 06-1371; UBC ",XXXXXXXX,XXXXXXXX,XIa
P1660,P. sp.  7b,"Japan, Hokkaido; G. Thor 25408; UPS-519475",KX897365,KX923054,XIa
P1672,P. sp.  7b,"Japan, Hokkaido; G. Thor; UPS",KX897366,KX923055,XIa
P1674,P. sp.  7b,"Japan, Hokkaido; G. Thor 25401; UPS-519496",KX897367,KX923056,XIa
N1947,P. sp.  8,"China, Yunnan; B. Goffinet 9978; CONN",KX897368,KX923057,HT31
P1272,P. sp.  8,"China, Jilin; M. Sohrabi 16572; M. Sohrabi Private Coll.",KX897369,KX923058,HT43
N1920,P. sp.  8,"China, Yunnan; B. Goffinet 9983; CONN",KX897370,KX923059,HT47
N1754,P. sp.  8,South Korea; J. Santosh 090187; J. Santosh Private Coll.,KX897371,KX923060,VIIIa
N1897,P. sp.  8,"China, Yunnan; B. Goffinet 10060; CONN",KX897372,KX923061,VIIIa
N1898,P. sp.  8,"China, Yunnan; B. Goffinet 10063; CONN",KX897373,KX923062,VIIIa
N1900,P. sp.  8,"China, Yunnan; B. Goffinet 10102; CONN",KX897374,KX923063,VIIIa
N1922,P. sp.  8,"China, Yunnan; B. Goffinet 10072; CONN",KX897375,KX923064,VIIIa
N1924,P. sp.  8,"China, Yunnan; B. Goffinet 10095; CONN",KX897376,KX923065,VIIIa
N1928,P. sp.  8,"China, Yunnan; B. Goffinet 10107; CONN",KX897377,KX923066,VIIIa
P1237,P. sp.  8,Taiwan; A. Mikulin T71; A. Mikulin Private Coll.,KX897378,KX923067,VIIIa
P1299,P. sp.  8,"China, Yunnan; J. Miadlikowska et al. s.n.; DUKE",KX897379,KX923068,VIIIa
P3013,P. sp.  8,"Russia, Khabarovsk Territory; F. Lutzoni and J. Miadlikowska -P3013.; DUKE ",XXXXXXXX,XXXXXXXX,VIIIa
N1748,P. sp.  8,South Korea; J. Santosh 080042; J. Santosh Private Coll.,KX897380,KX923069,XIV
N1752,P. sp.  8,South Korea; J. Santosh 090132; J. Santosh Private Coll.,KX897381,KX923070,XIV
N1766,P. sp.  8,South Korea; J. Santosh 040808; J. Santosh Private Coll.,KX897382,KX923071,XIV
P3035,P. sp.  8,"Russia, Khabarovsk Territory; F. Lutzoni and J. Miadlikowska -P3035.; DUKE ",YYYYYYYY,YYYYYYYY,XIV
N1907,P. sp.  9,"China, Yunnan; B. Goffinet 10100; CONN",KX897383,KX923072,VIIIa
N1908,P. sp.  9,"China, Yunnan; B. Goffinet 10040; CONN",KX897384,KX923073,VIIIa
N1918,P. sp.  9,"China, Yunnan; B. Goffinet 10101; CONN",KX897385,KX923074,VIIIa
N1921,P. sp.  9,"China, Yunnan; B. Goffinet 10064; CONN",KX897386,KX923075,VIIIa
N1923,P. sp.  9,"China, Yunnan; B. Goffinet 10073; CONN",KX897387,KX923076,VIIIa
N1936,P. sp.  9,"China, Yunnan; B. Goffinet 10108; CONN",KX897388,KX923077,VIIIa
P1508,P. sp.  9,"China, Yunnan; J. Miadlikowska et al. s.n.; DUKE",KX897389,KX923078,VIIIa
P332,P. truculenta,Chile; T. Wheeler 89; T. Wheeler Private Coll.,KX897396,KX923085,HT36
P329,P. truculenta,Chile; P. Nelson 4362; T. Wheeler Private Coll.,KX897397,KX923086,HT38
P1251,P. truculenta,Chile; J. Hollinger 1925; UBC,KX897398,KX923087,VIIIb
P335,P. truculenta,Chile; T. Wheeler 1093; T. Wheeler Private Coll.,KX897399,KX923088,VIIIb
P3057,P. truculenta,"Chile, J. Hollinger 1936; UBC",YYYYYYYY,YYYYYYYY,XVb
P330,P. truculenta,Chile; T. Wheeler 3826; T. Wheeler Private Coll.,KX897400,KX923089,XVb
