duke_dna,abmi_id,year,site,site_year,envelope,quadrant,stratum,orig_id,tbas_id,peltigera_epa_likelihood,peltigera_top_blast_id,peltigera_blast_pi,peltigera_blast_query_cover,its_otu,peltigera_final_id,nostoc_top_blast_id,nostoc_blast_pi,nostoc_blast_query_cover,rbclx_otu,nostoc_final_id,notes,batch_48,,,,
P6516,364936,2007,388,388_2007,3123,6,LS,Peltigera cf. leucophlebia,Peltigera_leucophlebia_s_str,"0.883741, 0.018027, 0.017908, 0.017723, 0.017705",P294_peltigera_latiloba,99.819,100,OTU246,Peltigera_leucophlebia_2,0,0,0,0,,0,,,,,
P11462,365770,2007,484,484_2007,534V,2,WPW,Peltigera leucophlebia,0,0,0,0,0,0,,0,0,0,0,,,68,,,,
P11461,365772,2007,484,484_2007,532V,3,WPW,Peltigera leucophlebia,Peltigera_leucophlebia_6,"0.395742, 0.341416, 0.202350, 0.025411",P6063_peltigera_leucophlebia,100,100,OTU7,Peltigera_leucophlebia_6,0,0,0,0,,,68,,,,
P6309,369868,2007,649,649_2007,1055,1,DM,Peltigera cf. canina,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P8810,369874,2007,649,649_2007,1059,2,DM,Peltigera canina,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P8811,369946,2007,649,649_2007,1056,3,LS,Peltigera neckeri,"Peltigera_neckeri,Peltigera_polydactyloides","0.329768, 0.328815, 0.328770",P1534_peltigera_sp14,85.075,90,OTU3,Peltigera_neckeri,P1839_P_retifoveata_USA,99.648,96,otu377,XXXIIIa,0,,,,,
P6327,370264,2007,664,664_2007,3131,2,LS,Peltigera horizontalis,0,0,0,0,0,0,,P0420_P_praetextata_Serbia,99.878,96,otu39,,,,,,,
P6588,371930,2007,1069,1069_2007,2325,2,UH,Peltigera canina s.l.,Peltigera_sp_18,"0.088230, 0.087380, 0.087153, 0.087149, 0.086008, 0.084848, 0.078786, 0.064042, 0.062397, 0.038197, 0.037945",P2081_peltigera_canina_2,100,100,OTU59,Peltigera_canina_2,P12604_Peltigera_sp_Chile_Malalca_2_C1_P1,99.209,98,otu35,,,,,,,
P9460,372108,2007,1101,1101_2007,1967,2,UH,Nephroma arcticum,0,0,0,0,0,0,,0,0,0,0,,,27,,,,
"P6575, P6889",372322,2007,1103,1103_2007,2559,2,UH,Peltigera cf. britannica,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P8809,372668,2007,1149,1149_2007,2311,1,UH,Peltigera didactyla,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P6586,376633,2007,OG-DH-793-5,OG-DH-793-5_2007,139,1,WDS,Peltigera cf. canina,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P11358,379577,2008,316,316_2008,1907,1,UH,Peltigera canina,Peltigera_sp_18,"0.091851, 0.091320, 0.088407, 0.088341, 0.087362, 0.086490, 0.080017, 0.064337, 0.062499, 0.037060, 0.036784",HOB12_peltigera_canina_1,99.076,100,OTU273,Peltigera_canina_1,P1486_P_ponojensis_USA,99.393,96,otu52,,,66,,,,
P11359,693078,2008,316,316_2008,1907,1,UH,Peltigera membranacea,Peltigera_sp_18,"0.091851, 0.091320, 0.088407, 0.088341, 0.087362, 0.086490, 0.080017, 0.064337, 0.062499, 0.037060, 0.036784",HOB12_peltigera_canina_1,99.076,100,OTU273,Peltigera_canina_1,P1486_P_ponojensis_USA,99.393,96,otu185,,,66,,,,
P11353,379607,2008,316,316_2008,172,1,WSB,Peltigera leucophlebia,Peltigera_leucophlebia_s_str,"0.907851, 0.014362, 0.014346, 0.014076",P6068_peltigera_leucophlebia,99.819,100,OTU162,Peltigera_leucophlebia_2,P6072_leucophlebia,99.268,100,otu218,,,66,,,,
P11352,379609,2008,316,316_2008,2262,1,WSB,Peltigera membranacea,Peltigera_sp_21,"0.184298, 0.064654, 0.060540, 0.054593, 0.054572, 0.054002, 0.053494, 0.053359, 0.050837, 0.044244, 0.043647",IC355_peltigera_islandica,100,100,OTU4,Peltigera_islandica,0,0,0,0,,,66,,,,
P11355,379585,2008,316,316_2008,1905,2,UH,Peltigera rufescens,Peltigera_rufescens_1,"0.722674, 0.213711, 0.013297, 0.012757",P2083_peltigera_rufescens_1,95.652,100,OTU143,Peltigera_rufescens_1,P12604_Peltigera_sp_Chile_Malalca_2_C1_P1,99.183,99,otu243,,,66,,,,
P11357,379591,2008,316,316_2008,1773,3,UH,Peltigera canina,Peltigera_sp_21,"0.184298, 0.064654, 0.060540, 0.054593, 0.054572, 0.054002, 0.053494, 0.053359, 0.050837, 0.044244, 0.043647",IC355_peltigera_islandica,100,100,OTU4,Peltigera_islandica,P1486_P_ponojensis_USA,99.036,98,otu219,,,66,,,,
P11356,693063,2008,316,316_2008,2254,4,TD,Peltigera rufescens,0,0,0,0,0,0,,0,0,0,0,,,66,,,,
P11354,379593,2008,316,316_2008,1774,4,UH,Peltigera membranacea,Peltigera_sp_21,"0.184298, 0.064654, 0.060540, 0.054593, 0.054572, 0.054002, 0.053494, 0.053359, 0.050837, 0.044244, 0.043647",IC355_peltigera_islandica,100,100,OTU4,Peltigera_islandica,P1839_P_retifoveata_USA,99.883,96,otu213,,,66,,,,
P9468,380115,2008,345,345_2008,853,3,LH,Nephroma bellum,"Peltigera_extenuata_2,Peltigera_extenuata_1","0.031964, 0.031840, 0.031400, 0.027531, 0.011337, 0.011331, 0.011239, 0.011183, 0.011151, 0.011147, 0.011145",P2141_peltigera_ciamomea,89.873,32,OTU102,,0,0,0,0,,,27,,,,
P11054,705078,2008,373,373_2008,643,2,DT,Nephroma bellum,0,0,0,0,0,0,,0,0,0,0,,,60,,,,
P11053,380341,2008,373,373_2008,643,2,DT,Nephroma resupinatum,0,0,0,0,0,0,,0,0,0,0,,,60,,,,
P9876,380553,2008,373,373_2008,8511,2,WDS,Peltigera praetextata,0,0,0,0,0,0,,0,0,0,0,,,35,,,,
P11259,703887,2008,375,375_2008,288B,2,WDS,Peltigera,Peltigera_neopolydactyla_1,"0.673014, 0.043004, 0.042637, 0.030833, 0.030833, 0.030606, 0.030180, 0.030056, 0.029919, 0.029859",P309_peltigera_neopolydactyla_1,99.84,100,OTU49,Peltigera_neopolydactyla_1,P2072_P_neorufescens2_CostaRica,89.898,96,otu253,,,64,,,,
P6562,381641,2008,412,412_2008,2722,2,WDS,Peltigera neopolydactyla,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P6894,1226874,2008,412,412_2008,3720A,2,WPW,Peltigera cf. conspersa TGO,Peltigera_leucophlebia_s_str,"0.900519, 0.015479, 0.015463, 0.015180, 0.015164",P6068_peltigera_leucophlebia,99.819,100,OTU284,Peltigera_leucophlebia_2,0,0,0,0,,0,,,,,
P6530,705747,2008,412,412_2008,4380,3,WPW,Peltigera retifoveata,Peltigera_retifoveata,0.999191,P2100_peltigera_retifoveata,99.445,100,OTU222,Peltigera_retifoveata,JL31_extenuata_vnf,100,100,otu366,XXXIIIa,0,,,,,
P8877,382091,2008,413,413_2008,2507,1,UH,Peltigera scabrosa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,Duplicate P# with 245719. Sequence matched 245719,,,,,
P9456,387431,2008,867,867_2008,3362,1,LH,Lobaria pulmonaria,0,0,0,0,0,0,,0,0,0,0,,,27,,,,
P9457,1454186,2008,867,867_2008,3362,1,LH,Nephroma resupinatum,0,0,0,0,0,0,,0,0,0,0,,,27,,,,
P8837,387719,2008,868,868_2008,2829,1,LS,Peltigera leucophlebia,Peltigera_leucophlebia_s_str,0.999081,P6065_peltigera_leucophlebia,100,100,OTU66,Peltigera_leucophlebia_1,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.878,96,otu37,V,DH: check specimen; potential photomorph?,,,,,
P8836,387857,2008,899,899_2008,3049,1,LS,Peltigera extenuata,"Peltigera_didactyla_1,Peltigera_castanea,Peltigera_didactyla_2,Peltigera_sorediifera,Peltigera_didactyla_3","0.179426, 0.175851, 0.174410, 0.131052, 0.067225, 0.063514, 0.052356, 0.033637, 0.033593, 0.014035, 0.013929",P2140_peltigera_didactyla_1,100,100,OTU181,Peltigera_didactyla_1,JL23_aphthosa_no_vnf,100,99,otu376,XXXIIIa,0,,,,,
P8835,701571,2008,899,899_2008,3055,4,LS,Peltigera extenuata,"Peltigera_didactyla_1,Peltigera_castanea,Peltigera_didactyla_2,Peltigera_sorediifera,Peltigera_didactyla_3","0.179426, 0.175851, 0.174410, 0.131052, 0.067225, 0.063514, 0.052356, 0.033637, 0.033593, 0.014035, 0.013929",P2140_peltigera_didactyla_1,100,100,OTU181,Peltigera_didactyla_1,P1839_P_retifoveata_USA,99.648,96,otu377,XXXIIIa,0,,,,,
P6509,388749,2008,933,933_2008,1719,3,LS,Peltigera polydactylon,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P8833,388863,2008,934,934_2008,3162,2,LH,Peltigera didactyla,Peltigera_didactyla_3,0.989586,P2110_peltigera_didactyla_3,100,100,OTU169,Peltigera_didactyla_3,P0420_P_praetextata_Serbia,99.878,96,otu18,V,0,,,,,
P8834,1586714,2008,934,934_2008,3162,2,LH,Peltigera didactyla,Peltigera_didactyla_3,0.989586,P2110_peltigera_didactyla_3,100,100,OTU169,Peltigera_didactyla_3,P0006_P_neocanina_Iceland,100,91,otu249,XLII,0,,,,,
P8831,388869,2008,934,934_2008,3159,3,LS,Peltigera canina,Peltigera_canina_1,"0.132123, 0.076301, 0.075767, 0.075711, 0.075676, 0.074880, 0.074031, 0.068876, 0.056281, 0.054864, 0.033965",P2118_peltigera_canina_1,100,100,OTU100,Peltigera_canina_1,P0420_P_praetextata_Serbia,99.878,96,otu18,V,0,,,,,
P8832,695825,2008,934,934_2008,3159,3,LS,Peltigera leucophlebia,Peltigera_leucophlebia_6,"0.395742, 0.341416, 0.202350, 0.025411",P6063_peltigera_leucophlebia,100,100,OTU7,Peltigera_leucophlebia_6,P0006_P_neocanina_Iceland,100,91,otu249,XLII,0,,,,,
P8830,389783,2008,1007,1007_2008,2338,1,WDS,Peltigera didactyla,"Peltigera_didactyla_1,Peltigera_castanea,Peltigera_didactyla_2,Peltigera_sorediifera,Peltigera_didactyla_3","0.179426, 0.175851, 0.174410, 0.131052, 0.067225, 0.063514, 0.052356, 0.033637, 0.033593, 0.014035, 0.013929",P2140_peltigera_didactyla_1,100,100,OTU181,Peltigera_didactyla_1,JL23_aphthosa_no_vnf,100,99,otu376,XXXIIIa,0,,,,,
P8827,389801,2008,1007,1007_2008,2759,3,WDS,Peltigera leucophlebia,Peltigera_leucophlebia_s_str,"0.909085, 0.014176, 0.014161, 0.013886",P6083_peltigera_leucophlebia,100,100,OTU16,Peltigera_leucophlebia_2,P1839_P_retifoveata_USA,99.648,96,otu133,XXXIIIa,0,,,,,
P8828,389799,2008,1007,1007_2008,2346,3,WDS,Peltigera didactyla,"Peltigera_didactyla_1,Peltigera_castanea,Peltigera_didactyla_2,Peltigera_sorediifera,Peltigera_didactyla_3","0.179426, 0.175851, 0.174410, 0.131052, 0.067225, 0.063514, 0.052356, 0.033637, 0.033593, 0.014035, 0.013929",P2140_peltigera_didactyla_1,100,100,OTU181,Peltigera_didactyla_1,P1486_P_ponojensis_USA,99.393,96,otu185,XXX,0,,,,,
P8829,692716,2008,1007,1007_2008,2341,3,WDS,Peltigera cf. didactyla,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P9638,538170,2008,1041,1041_2008,2008,2,LS,Leptogium,0,0,0,0,0,0,,DQ185293_Nephroma_bellum_Austria,95.684,93,otu422,,,30,,,,
P9458,390191,2008,1041,1041_2008,1867,2,LS,Lobaria pulmonaria,0,0,0,0,0,0,,0,0,0,0,,,27,,,,
P9459,697833,2008,1041,1041_2008,1867,2,LS,Nephroma bellum,0,0,0,0,0,0,,0,0,0,0,,,27,,,,
P9465,390503,2008,1042,1042_2008,3989,2,TD,Nephroma bellum,0,0,0,0,0,0,,0,0,0,0,,,27,,,,
P8817,390977,2008,1070,1070_2008,4800,1,LS,Peltigera elisabethae,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P8840,391119,2008,1070,1070_2008,4828,1,UH,Peltigera aphthosa,Peltigera_leucophlebia_s_str,0.998928,P6065_peltigera_leucophlebia,99.819,100,OTU459,Peltigera_leucophlebia_1,P12594_Peltigera_truculenta_Chile_Puyehue_3_C1_P1,96.638,81,otu416,aff_XXX,poetntial new nostoc,,,,,
P8841,713025,2008,1070,1070_2008,4828,1,UH,Peltigera extenuata,Peltigera_extenuata_1,0.99875,P2064_peltigera_extenuata_1,100,100,OTU135,Peltigera_extenuata_1,P12626_Peltigera_extenuata_Chile_Mocho_2_C1_P1,100,98,otu160,XXXIIIb,0,,,,,
P8839,390953,2008,1070,1070_2008,4838,2,DT,Peltigera didactyla,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,Duplicate P# with 713192. Sequence matched 713192,,,,,
P8839,713192,2008,1070,1070_2008,4838,2,DT,Peltigera extenuata,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Peltigera_extenuata_1,#N/A,#N/A,#N/A,#N/A,XXXIIIb,Duplicate P# with 390953. Sequence matched this record,,,,,
P8838,390961,2008,1070,1070_2008,3789,2,LH,Peltigera neopolydactyla,Peltigera_neopolydactyla_1,"0.673014, 0.043004, 0.042637, 0.030833, 0.030833, 0.030606, 0.030180, 0.030056, 0.029919, 0.029859",P309_peltigera_neopolydactyla_1,99.84,100,OTU49,Peltigera_neopolydactyla_1,P2072_P_neorufescens2_CostaRica,90.603,96,otu54,VIIa,0,,,,,
P8824,391099,2008,1070,1070_2008,4902,2,TD,Peltigera extenuata,Peltigera_extenuata_1,0.99875,P2064_peltigera_extenuata_1,100,100,OTU135,Peltigera_extenuata_1,P12626_Peltigera_extenuata_Chile_Mocho_2_C1_P1,100,98,otu160,XXXIIIb,0,,,,,
P8825,713019,2008,1070,1070_2008,4832,3,UH,Peltigera elisabethae,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P8826,391131,2008,1070,1070_2008,4832,3,UH,Peltigera neopolydactyla,Peltigera_neopolydactyla_1,"0.673014, 0.043004, 0.042637, 0.030833, 0.030833, 0.030606, 0.030180, 0.030056, 0.029919, 0.029859",P309_peltigera_neopolydactyla_1,99.84,100,OTU49,Peltigera_neopolydactyla_1,P0006_P_neocanina_Iceland,100,91,otu249,,0,,,,,
P8819,391133,2008,1070,1070_2008,3865,3,WDS,Peltigera leucophlebia,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P11615,391247,2008,1116,1116_2008,5633,1,DM,Peltigera canina,Peltigera_sp_21,"0.184298, 0.064654, 0.060540, 0.054593, 0.054572, 0.054002, 0.053494, 0.053359, 0.050837, 0.044244, 0.043647",IC355_peltigera_islandica,100,100,OTU4,Peltigera_islandica,0,0,0,0,,,72,,,,
P11617,391235,2008,1116,1116_2008,2756A,1,DM,Peltigera rufescens,Peltigera_fimbriata,"0.295117, 0.254123, 0.156298, 0.148767, 0.144449",P2086_peltigera_neorufescens_5,92.291,97,OTU130,Peltigera_aff_neorufescens,0,0,0,0,,,72,,,,
P11582,391243,2008,1116,1116_2008,5623,1,DM,Solorina spongiosa,0,0,0,0,0,0,,0,0,0,0,,,71,,,,
P9688,391237,2008,1116,1116_2008,2866,1,DM,Solorina spongiosa,0,0,0,0,0,0,,0,0,0,0,,,31,,,,
P11612,391395,2008,1116,1116_2008,2882,1,UH,Peltigera elisabethae,0,0,0,0,0,0,,0,0,0,0,,,72,,,,
P11616,391263,2008,1116,1116_2008,2872,2,DM,Peltigera rufescens,0,0,0,0,0,0,,0,0,0,0,,,72,,,,
P11613,391397,2008,1116,1116_2008,2883,2,UH,Peltigera praetextata,0,0,0,0,0,0,,0,0,0,0,,,72,,,,
P11614,391311,2008,1116,1116_2008,2871,3,LS,Peltigera praetextata,0,0,0,0,0,0,,0,0,0,0,,,72,,,,
P8511,391599,2008,1191,1191_2008,3912,1,UH,Peltigera didactyla,"Peltigera_didactyla_1,Peltigera_castanea,Peltigera_didactyla_2,Peltigera_sorediifera,Peltigera_didactyla_3","0.302049, 0.295565, 0.293344, 0.037323, 0.009536, 0.009176, 0.008851",P2140_peltigera_didactyla_1,97.028,100,OTU165,Peltigera_aff_didactyla,JL31_extenuata_vnf,99.767,99,otu138,,,,,,,
P8514,391601,2008,1191,1191_2008,3913,2,UH,Peltigera didactyla,Peltigera_didactyla_3,0.989957,P2109_peltigera_didactyla_3,99.643,100,OTU421,Peltigera_didactyla_3,JL23_aphthosa_no_vnf,98.026,99,otu312,,,,,,,
P8510,391607,2008,1191,1191_2008,3916,4,UH,Peltigera rufescens,Peltigera_neorufescens_3,0.999871,P2061_peltigera_neorufescens_1,93.568,100,OTU419,Peltigera_aff_neorufescens,JL31_extenuata_vnf,99.767,99,otu138,XXXIIIa,CP: check aln; potential new lineage,,,,,
P8512,730983,2008,1191,1191_2008,3917A,5,UH,Peltigera wulingensis,Peltigera_didactyla_3,0.990018,P2109_peltigera_didactyla_3,100,100,OTU105,Peltigera_didactyla_3,JL31_extenuata_vnf,99.65,99,otu83,,,,,,,
P8513,391615,2008,1191,1191_2008,3805,6,UH,Peltigera cf. didactyla,Peltigera_didactyla_3,0.990397,P2109_peltigera_didactyla_3,99.643,100,OTU420,Peltigera_didactyla_3,P1486_P_ponojensis_USA,99.757,96,otu28,XXX,0,,,,,
P11264,702807,2008,1192,1192_2008,4506,1,UH,Peltigera extenuata,"Peltigera_didactyla_1,Peltigera_castanea,Peltigera_didactyla_2,Peltigera_sorediifera,Peltigera_didactyla_3","0.236689, 0.228889, 0.228275, 0.055681, 0.055680, 0.053474, 0.053361, 0.028111, 0.016588",P2200_peltigera_didactyla_1,96.842,100,OTU264,Peltigera_aff_didactyla,JL31_extenuata_vnf,99.767,99,otu138,,,64,,,,
P11261,391667,2008,1192,1192_2008,4505,1,UH,Peltigera rufescens,Peltigera_ponojensis_monticola_1a,"0.191907, 0.147189, 0.111236, 0.111206, 0.111117, 0.110104, 0.108738, 0.108500",P2181_peltigera_ponojensis_1a,100,100,OTU26,Peltigera_ponojensis_1a,P1839_P_retifoveata_USA,99.883,96,otu213,,,64,,,,
P11263,391641,2008,1192,1192_2008,4520,2,LS,Peltigera didactyla,"Peltigera_didactyla_1,Peltigera_castanea,Peltigera_didactyla_2,Peltigera_sorediifera,Peltigera_didactyla_3","0.302572, 0.295941, 0.293555, 0.046768, 0.007886, 0.007743",P2140_peltigera_didactyla_1,96.751,98,OTU263,Peltigera_didactyla_2,P1839_P_retifoveata_USA,99.883,96,otu213,,,64,,,,
P11262,391675,2008,1192,1192_2008,4508,4,UH,Peltigera didactyla,Peltigera_extenuata_1,0.99875,P2064_peltigera_extenuata_1,100,100,OTU135,Peltigera_extenuata_1,P1109_P_extenuata_NorthAmerica,100,96,otu176,,,64,,,,
P11265,702795,2008,1192,1192_2008,4507,4,UH,Peltigera extenuata,"Peltigera_didactyla_1,Peltigera_castanea,Peltigera_didactyla_2,Peltigera_sorediifera,Peltigera_didactyla_3","0.257569, 0.255463, 0.251606, 0.129960, 0.021160, 0.020662, 0.018355",P2102_peltigera_castanea,98.923,100,OTU265,Peltigera_castanea,P12604_Peltigera_sp_Chile_Malalca_2_C1_P1,99.3,99,otu40,,,64,,,,
P11266,391673,2008,1192,1192_2008,4507,4,UH,Peltigera rufescens,Peltigera_didactyla_3,0.990018,P2109_peltigera_didactyla_3,100,100,OTU105,Peltigera_didactyla_3,JL31_extenuata_vnf,99.767,99,otu138,,,64,,,,
P11581,1413936,2008,1192,1192_2008,4510,5,UH,Collema crispum s.l.,0,0,0,0,0,0,,0,0,0,0,,,71,,,,
P11260,391681,2008,1192,1192_2008,4511,5,UH,Peltigera rufescens,Peltigera_wulingensis,0.972543,P2031_peltigera_wulingensis,99.823,100,OTU262,Peltigera_wulingensis,P12604_Peltigera_sp_Chile_Malalca_2_C1_P1,99.3,99,otu40,,,64,,,,
P6515,391933,2008,1353,1353_2008,4289,3,UH,Peltigera venosa,0,0,0,0,0,0,,0,0,0,0,,,,,,,
P8818,392331,2008,1378,1378_2008,4090,1,TD,Peltigera elisabethae,Peltigera_elisabethae,"0.819424, 0.146709",P1534_peltigera_sp14,84,89,OTU101,Peltigera_elisabethae,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.878,96,otu37,V,0,,,,,
P8823,392367,2008,1378,1378_2008,4132,1,WSB,Peltigera leucophlebia,Peltigera_leucophlebia_s_str,"0.909085, 0.014176, 0.014161, 0.013886",P6083_peltigera_leucophlebia,100,100,OTU16,Peltigera_leucophlebia_2,P2072_P_neorufescens2_CostaRica,96.83,96,otu191,aff_XXVIb,0,,,,,
P11587,1413975,2008,1637,1637_2008,4116A,2,WDS,Verrucariaceae,0,0,0,0,0,0,,0,0,0,0,,,71,,,,
P8821,393401,2008,OG-DH-448-1,OG-DH-448-1_2008,5312,1,DM,Peltigera rufescens,"Peltigera_neckeri,Peltigera_polydactyloides","0.329768, 0.328815, 0.328770",P1534_peltigera_sp14,85.075,90,OTU3,Peltigera_neckeri,JL31_extenuata_vnf,99.767,99,otu138,XXXIIIa,0,,,,,
P8822,717181,2008,OG-DH-448-1,OG-DH-448-1_2008,5312,1,DM,Peltigera elisabethae,"Peltigera_neckeri,Peltigera_polydactyloides","0.329768, 0.328815, 0.328770",P1534_peltigera_sp14,85.075,90,OTU3,Peltigera_neckeri,JL31_extenuata_vnf,99.767,99,otu138,XXXIIIa,0,,,,,
P8820,717253,2008,OG-DH-448-1,OG-DH-448-1_2008,5323,2,DM,Peltigera ponojensis,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Peltigera_ponojensis_1a,#N/A,#N/A,#N/A,#N/A,XXI,Duplicate P# with 393415. Sequence matched this record,,,,,
P8820,393415,2008,OG-DH-448-1,OG-DH-448-1_2008,5323,2,DM,Peltigera rufescens,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,Duplicate P# with 717253. Sequence matched 717253,,,,,
P11254,394921,2008,OG-DH-751-1,OG-DH-751-1_2008,4630,1,BC,Peltigera rufescens,Peltigera_neorufescens_3,0.999871,P2061_peltigera_neorufescens_1,93.865,100,OTU164,Peltigera_aff_neorufescens,P2003_P_ponojensis_Canada,100,96,otu167,,,64,,,,
P9489,705534,2008,OG-DH-751-1,OG-DH-751-1_2008,571A,1,LS,Leptogium subtile,Peltigera_ponojensis_monticola_8,"0.024452, 0.013612, 0.013585, 0.013574, 0.013572, 0.013520, 0.013518, 0.013496, 0.013491, 0.013412, 0.013367",P2146_peltigera_sorediifera,89.873,31,OTU537,,0,0,0,0,,,27,,,,
P9490,705536,2008,OG-DH-751-1,OG-DH-751-1_2008,571A,1,LS,Leptogium tenuissimum,Peltigera_ponojensis_monticola_2,"0.019566, 0.019557, 0.019531, 0.019530, 0.019496, 0.019468, 0.019392, 0.019302, 0.018740, 0.018604, 0.018537",P2146_peltigera_sorediifera,89.937,36,OTU213,,0,0,0,0,,,27,,,,
P9488,705709,2008,OG-DH-751-1,OG-DH-751-1_2008,4126A,1,LS,Leptogium tenuissimum,Peltigera_ponojensis_monticola_2,"0.019566, 0.019557, 0.019531, 0.019530, 0.019496, 0.019468, 0.019392, 0.019302, 0.018740, 0.018604, 0.018537",P2146_peltigera_sorediifera,89.937,36,OTU213,,0,0,0,0,,,27,,,,
P11267,394959,2008,OG-DH-751-1,OG-DH-751-1_2008,571,1,LS,Peltigera canina,Peltigera_canina_1,"0.132123, 0.076301, 0.075767, 0.075711, 0.075676, 0.074880, 0.074031, 0.068876, 0.056281, 0.054864, 0.033965",P2118_peltigera_canina_1,100,100,OTU100,Peltigera_canina_1,P0420_P_praetextata_Serbia,99.878,96,otu18,,,64,,,,
P11258,705292,2008,OG-DH-751-1,OG-DH-751-1_2008,4125,1,LS,Peltigera cf. canina,0,0,0,0,0,0,,P2047_P_andensis_Boliva_2054_friesiorum_Peru,99.777,96,otu19,,,64,,,,
P11269,394957,2008,OG-DH-751-1,OG-DH-751-1_2008,571C,1,LS,Peltigera cf neckeri,"Peltigera_neckeri,Peltigera_polydactyloides","0.329768, 0.328815, 0.328770",P1534_peltigera_sp14,85.075,90,OTU3,Peltigera_neckeri,P1839_P_retifoveata_USA,99.648,96,otu377,,,64,,,,
P11268,705530,2008,OG-DH-751-1,OG-DH-751-1_2008,571A,1,LS,Peltigera praetextata,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,OTU5,Peltigera_praetextata,P0420_P_praetextata_Serbia,99.878,96,otu18,,,64,,,,
P11050,705719,2008,OG-DH-751-1,OG-DH-751-1_2008,4620,1,TD,Leptogium subtile grp.,0,0,0,0,0,0,,0,0,0,0,,,60,,,,
