alerts,duke_dna,Region_Abb,placeholder,placeholder,placeholder,Current ID even for specimens not in tree,placeholder,placeholder,clade,abmi_id,site,year,collector,region,site_year,ITS,envelope,quadrant,stratum,orig_id,tbas_id,peltigera_epa_likelihood,peltigera_top_blast_id,peltigera_blast_pi,peltigera_blast_query_cover,Source,placeholder,Specimen Current Location,Ownership/Original Location?,World Koppen Climate Index,Lat Long Exact or Notes,Lat_dd,Long_dd,placeholder,Altitude (mASL),Ayla Hab Picture Made,Alya Aspect from Images,Aspect from images,Habitat (from portal download Aug 2023),ABMI_SITE_COPY FOR PHOTO LOOKUP,ABMI_YEAR_COPY FOR PHOTO LOOKUP,DH finalized habitat,"DH finalized habitat with ABMI photos, habsum",moisture regime,"Aquatic influence (in valley/ravine/coulee, along creek, along water body)",Disturbance? Only note if collector noted or visible in Google Earth,Substrate raw with observations (from portal download Aug 2023),"Substrate condensed, updated with RC info from directly beneath thallus to away from thallus (soil includes litter; moss includes dwarf veg like Selaginella; use terr if generic ground given for substrate)",HABITAT TRENDS,Notes/Means,peltigera_final_molecular_id_original,peltigera_final_molecular_id_updated,nostoc_top_blast_id,nostoc_blast_pi,nostoc_blast_query_cover,its_otu,rbclx_otu,nostoc_final_id,batch_48,CP notes,DH NOTES
REMOVE ROW,NA (orig P9127),CANADA_AB,,,,,,,,1275204,383,2016,ABMI: Ashley Hillman,Canada: Alberta,383_2016,Carlos,2041,SW,Wetland,Peltigera neopolydactyla,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,57.537735,-113.120346,,723,,,,"Boreal Natural Region (Upper Boreal Highlands Subregion). Dominant current ecosite (50m radius): Xeric pine forest on moderately nutrient-rich soils, trees <10m tall. % 25x15 m plot disturbed: none. ",383,2016,,young pine,xeric,,none,Wetlands. Collected from one or more of the following:  peatland,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,Duplicate P# with 730612. Sequence matched 730612,"Resolved: not sampled, portal data entry error, not a core site so not sampled. REMOVE ROW"
REMOVE ROW,NA (orig P9223),CANADA_AB,,,,,,,,655541,920,2014,ABMI: Charlie Sikkema,Canada: Alberta,920_2014,Carlos,16314,SW,Log/Stump,Peltigera neckeri,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,54.35503,-112.469894,,695,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Mesic aspen forest on moderately nutrient-rich soils, trees <10m tall. % 25x15 m plot disturbed: none. ",920,2014,,aspen,mesic,,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,XXXIIIa,,poetntial new lineage,"Resolved: this species was not sampled, not part of core sampling sites so didn't resample - REMOVE ROW"
REMOVE ROW,NA (orig P9350 DUPLICATE),CANADA_AB,,,,,,,,775206,91,2016,ABMI: Ashley Hillman,Canada: Alberta,91_2016,Carlos,10444,SW,Log/Stump,Peltigera didactyla,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,59.212379,-111.772346,,239,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (50m radius): Rich fen with black spruce and/or tamarack, trees >=10m tall. % 25x15 m plot disturbed: none. ",91,2016,,burned treed bog,hydric,fen,fire,charred bark and twigs Dead wood. Collected from one or more of the following:  hard logs &/or stumps,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,24?,,"Resolved: CP did write P number on packet but specimen is tiny and doesn't look sampled, cyanolichen record does not have this packet sampled. Because too small didn't sample. REMOVE ROW"
REMOVE ROW,NA (orig. P9207),CANADA_AB,,,,,,,,249294,384,2010,ABMI: Kathryn Martell,Canada: Alberta,384_2010,Carlos,3043,SW,Rock,Peltigera,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,57.482895,-112.775536,,819,,,,"Boreal Natural Region (Upper Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine dominated forest on nutrient poor soils, trees <10m tall. % 25x15 m plot disturbed: none. ",384,2010,,young pine,mesic,,none,Rock. Collected from one or more of the following:  rocks < 50 cm diam.,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,Duplicate P# with 250813. Sequence matched 250813,"Resolved: this is s small piece that is parasitized, not sampled, removed P number - REMOVE ROW"
UPDATED,P10073,CANADA_AB,,,,,,,,241800,875,2010,ABMI: Tess Grainger,Canada: Alberta,875_2010,Carlos,198E,SE,Log/Stump,Nephroma resupinatum,Peltigera_extenuata_2,"0.029316, 0.029316, 0.029314, 0.026910, 0.022872, 0.017983, 0.017926, 0.010904, 0.010272, 0.010270, 0.009708",P1035_peltigera_aphthosa,87.879,48,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,54.906898,-116.155487,,867,,,,"Foothills Natural Region (Lower Foothills Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",875,2010,,mature mix with clearing,hygric,,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",moss over wood,,,,Nephroma_resupinatum,DQ185293_Nephroma_bellum_Austria,100,100,OTU22,otu181,,40,sequence genome,"Updated substrate, substrate condensed"
UPDATED,P10082,CANADA_AB,,,,,,,,1669567,875,2010,ABMI: Tess Grainger,Canada: Alberta,875_2010,Carlos,2201,NW,Tree/Other,Nephroma bellum,"Peltigera_extenuata_2,Peltigera_extenuata_1","0.030469, 0.030428, 0.030312, 0.028334, 0.014139, 0.011031, 0.011029, 0.010991, 0.010951, 0.010905, 0.010878",P2141_peltigera_ciamomea,90.506,43,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,54.906898,-116.155487,,867,,,,"Foothills Natural Region (Lower Foothills Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",875,2010,,mature mix with clearing,hygric,,none,"Trees & vertical structures. Collected from one or more of the following:  broadleaf trees, conifers, shrubs",,,,,Nephroma_bellum,0,0,0,OTU24,0,,40,,"bellum and parile present, Spencer sampled bellum; updated this row with name and ABMI ID #"
,P10089,CANADA_AB,,,,,,,,289963,1260,2011,ABMI: Mireille Martel,Canada: Alberta,1260_2011,Carlos,4976,SE,Upland,Peltigera scabrosa,Peltigera_scabrosa_2,"0.701655, 0.115740, 0.109351, 0.025173",P1540_peltigera_scabrosa_2,99.022,99,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,52.82333,-117.458916,,2052,,,,"Rocky Mountain Natural Region (Alpine Subregion). Dominant current ecosite (150m radius): Hygric upland spruce forest on nutrient rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",1260,2011,,mature spruce,hygric,,none,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,,Peltigera_scabrosa,P14211_SouthAfrica_rbcLX,94.487,99,OTU31,otu393,,40,possibly contaminated with dna from P10092,Resolved: sampler took Peltsca. Updated row data
,P10090,CANADA_AB,,,,,,,,295212,1260,2011,ABMI: Mireille Martel,Canada: Alberta,1260_2011,Carlos,4976,SE,Upland,Peltigera kristinssonii,Peltigera_kristinssonii,0.999946,HOB2_peltigera_kristinssonii,99.483,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,52.82333,-117.458916,,2052,,,,"Rocky Mountain Natural Region (Alpine Subregion). Dominant current ecosite (150m radius): Hygric upland spruce forest on nutrient rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",1260,2011,,mature spruce,hygric,,none,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,,Peltigera_kristinssonii,P2072_P_neorufescens2_CostaRica,94.732,97,OTU32,otu276,,40,is it possible to confuse scabrosa with Kristiinssonii? Sequence matches scabrosa,"Resolved: yes its possible, this specimen is very poor, sampler mixed up names"
UPDATED,P10160,CANADA_AB,,,,,,,,288992,963,2011,ABMI: Mireille Martel,Canada: Alberta,963_2011,Carlos,6096,SW,Tree/Other,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,54.568817,-119.633614,,1030,,,,"Foothills Natural Region (Upper Foothills Subregion). Dominant current ecosite (150m radius): Hygric upland poplar forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",963,2011,,mature poplar,hygric,,none,"Trees & vertical structures. Collected from one or more of the following:  broadleaf trees, conifers, shrubs","moss, litter over tree base/roots",,,Peltigera_aphthosa_5,Peltigera_aphthosa_5,P0735_P_malacea_Quebec,91.746,96,OTU47,otu68,,41,sequence genome,"Updated substrate, substrate condensed"
NEW,PA4116,CANADA_AB,,,,,,,,303127,1260,2011,ABMI: Mireille Martel,Canada: Alberta,1260_2011,Carlos,5002A,NE,Log/Stump,Peltigera scabrosa,,,,,,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,52.82333,-117.458916,,2052,,,,"Rocky Mountain Natural Region (Alpine Subregion). Dominant current ecosite (150m radius): Hygric upland spruce forest on nutrient rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",1260,2011,,mature spruce,hygric,,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,,,,,,,,,23-Dec,,Missed in first sampling rounds
UPDATED,P10246,CANADA_AB,,,,,,,,1269260,1425,2017,ABMI: Albin Bjarhall,Canada: Alberta,1425_2017,Carlos,7526,NW,Log/Stump,Protopannaria pezizoides,Peltigera_sp_15,"0.039833, 0.039152, 0.039105, 0.039031, 0.035701, 0.018689, 0.018197, 0.014088, 0.009590, 0.007618, 0.007483",HOB1_peltigera_kristinssonii,90.798,35,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,51.51881,-115.188652,,1597,,,,"Foothills Natural Region (Upper Foothills Subregion). Dominant current ecosite (50m radius): Mesic white spruce forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",1425,2017,,mature spruce,mesic,,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",moss over mineral soil over wood,,,,Protopannaria_pezizoides,P12532_Nephroma_sp_Malaysia_Kinabalu_1_C3_P1,97.248,99,OTU89,otu361,,43,sequence genome,"Updated substrate, substrate condensed"
UPDATED,P10247,CANADA_AB,,,,,,,,1263667,1447,2017,ABMI: Tallula Ash,Canada: Alberta,1447_2017,Carlos,7206,NE,Upland,Leptogium,Peltigera_ponojensis_monticola_5a,"0.012931, 0.012580, 0.012426, 0.012406, 0.012377, 0.012365, 0.012305, 0.012302, 0.012283, 0.012208, 0.012196",P2146_peltigera_sorediifera,91.195,19,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,51.324001,-115.221794,,2058,,,,"Rocky Mountain Natural Region (Subalpine Subregion). Dominant current ecosite (50m radius): Xeric spruce-dominated forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",1447,2017,,spruce,xeric,,none,"Upland soils. Collected from one or more of the following: disturbed mineral soil, exposed humus,
shaded humus","moss, lichen (Cladonia) over soil",,,,Scytinium_intermedium,NOS,96.154,95,OTU90,otu360,,43,sequence genome,"Updated substrate, substrate condensed"
UPDATED,P10264,CANADA_AB,,,,,,,,1521014,930,2019,ABMI: Siene Smith,Canada: Alberta,930_2019,Carlos,4796,NW,Tree/Other,Leptogium saturninum,Peltigera_nigripunctata,"0.069247, 0.024853, 0.015307, 0.011106, 0.011090, 0.009850, 0.009849, 0.009733, 0.009634, 0.009622, 0.009603",P783_peltigera_malacea,86.01,34,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,54.778164,-119.573784,,764,,,,"Boreal Natural Region (Central Mixedwood Subregion). Moist moderately nutrient rich spruce forest, trees >10m tall. % ha disturbed: none.",930,2019,,mature spruce,mesic,,none,"Trees & vertical structures. Collected from one or more of the following:  broadleaf trees, conifers, shrubs",directly on bark,,,,Leptogium_burnetiae,P12621,98.041,96,OTU99,otu183,,43,sequence genome,"Updated substrate, substrate condensed"
UPDATED,P10324,CANADA_AB,,,,,,,,295052,1232,2011,ABMI: Mireille Martel,Canada: Alberta,1232_2011,Carlos,5302C,NE,Log/Stump,Peltigera aphthosa,Peltigera_aphthosa_1,"0.924386, 0.024021, 0.005765",P779_peltigera_britaica,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,52.969749,-117.215393,,1825,,,,"Rocky Mountain Natural Region (Subalpine Subregion). Dominant current ecosite (150m radius): Xeric spruce-dominated forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",1232,2011,,mature spruce,xeric,,none,Dead wood. Collected from one or more of the following:  hard logs &/or stumps,moss over hard wood,,,Peltigera_britannica_2,Peltigera_britannica_2,P12590_Sticta_sp_Chile_Puyehue_2_C1_P1,97.922,81,OTU35,otu122,,45,sequence genome,"Updated substrate, substrate condensed"
,P10444 DUPLICATE,CANADA_AB,,,,,,,,292107,1031,2011,ABMI: Mireille Martel,Canada: Alberta,1031_2011,Carlos,2492,NW,Log/Stump,Peltigera aphthosa,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,54.211262,-119.348755,,1505,,,,"Foothills Natural Region (Upper Foothills Subregion). Dominant current ecosite (150m radius): Mesic white spruce forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: 10% bare ground. ",1031,2011,,spruce,mesic,,bare ground,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_britannica_2,Peltigera_britannica_2,#N/A,#N/A,#N/A,#N/A,#N/A,,47?,,Resolved: this is correct specimen for P10444 DUPLICATE
UPDATED,P10617,CANADA_AB,,,,,,,,85214,165,2012,ABMI: Guillaume Gingras,Canada: Alberta,165_2012,Carlos,4767,SE,Wetland,Peltigera aphthosa,Peltigera_aphthosa_1,"0.933472, 0.007515, 0.006598, 0.006591",P734_peltigera_aphthosa,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,59.085716,-116.429916,,777,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Rich fen with black spruce and/or tamarack, trees <10m tall. % 25x15 m plot disturbed: none. ",165,2012,,shrub fen,hydric,fen,none,Wetlands. Collected from one or more of the following:  peatland,"moss, litter, lichen (Cladonia cornuta) in fen",,,Peltigera_aphthosa_5,Peltigera_aphthosa_5,P12590_Sticta_sp_Chile_Puyehue_2_C1_P1,97.479,94,OTU47,otu63,,51,sequence genome,"Updated substrate, substrate condensed"
UPDATED,P10619 (orig. P10620),CANADA_AB,,,,,,,,92252,165,2012,ABMI: Guillaume Gingras,Canada: Alberta,165_2012,Carlos,4738,NE,Log/Stump,Peltigera rufescens,Peltigera_leucophlebia_s_str,"0.907851, 0.014362, 0.014346, 0.014076",P6068_peltigera_leucophlebia,99.819,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,59.085716,-116.429916,,777,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Rich fen with black spruce and/or tamarack, trees <10m tall. % 25x15 m plot disturbed: none. ",165,2012,,shrub fen,hydric,fen,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,,,0,0,0,OTU162,0,,51,possibly swapped with P10619,"Resolved: yes, swapped - switched P# to P10619 (orig. P10620)"
UPDATED,P10620 (orig. P10619),CANADA_AB,,,,neorufD,,,6,86556,165,2012,ABMI: Guillaume Gingras,Canada: Alberta,165_2012,Carlos,4737,NE,Log/Stump,Peltigera leucophlebia,Peltigera_fimbriata,"0.295117, 0.254123, 0.156298, 0.148767, 0.144449",P2086_peltigera_neorufescens_5,92.291,97,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,59.085716,-116.429916,,777,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Rich fen with black spruce and/or tamarack, trees <10m tall. % 25x15 m plot disturbed: none. ",165,2012,,shrub fen,hydric,fen,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_aff_neorufescens,Peltigera_hygrorufescens_ined,JL31_extenuata_vnf,100,100,OTU130,otu366,,51,possibly swapped with P10620,"Resolved: yes, swapped - switched P# to P10620 (orig. P10619)"
,P10691,CANADA_AB,,,,,,,,1441161,1351,2019,ABMI: Joel Van Riper,Canada: Alberta,1351_2019,Carlos,3477,SW,Upland,Peltigera malacea,Peltigera_aphthosa_1,"0.928672, 0.008026, 0.007066, 0.007059",HOB020708x8x5x9_peltigera_aphthosa,100,100,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,52.082951,-115.556076,,1711,,,,"Foothills Natural Region (Upper Foothills Subregion). Nutriuent poor, mesic Pine stand, trees > 10 m tall. % 1 ha disturbed: none",1351,2019,,mature pine,mesic,,none,Upland soils. Collected from one or more of the following:  unknown,,,,,,0,0,0,OTU186,0,,52,cyanomorph?,"Resolved: yes, there is def apthosa type lobes present and one thallus that transitions from bg to g photomorph"
UPDATED,P10729,CANADA_AB,,,,,,,,1551787,1376,2019,ABMI: Allison Collard,Canada: Alberta,1376_2019,Carlos,2894A,SE,Upland,Leptogium tenuissimum,Peltigera_extenuata_2,"0.029316, 0.029316, 0.029314, 0.026910, 0.022872, 0.017983, 0.017926, 0.010904, 0.010272, 0.010270, 0.009708",P1035_peltigera_aphthosa,87.879,48,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,51.943516,-115.623833,,1662,,,,"Foothills Natural Region (Upper Foothills Subregion). Nutriuent poor, mesic Engelmann spruce stand, trees > 10 m tall. % 1 ha disturbed: none",1376,2019,,mature spruce,mesic,,none,Upland soils. Collected from one or more of the following:  unknown,,,,,,0,0,0,OTU22,0,,53,,"CanÕt resolve: OTU is for Nephres but there isn't any  in this env, it is very clearly a Scytinium; I would disregard"
