Taxon,DNA Number,Voucher/Published source,ITS,LSU,RPB1,ß-tubulin,EFT 2.1,rbcLX,rbcLX phylogroup or haplotype
P. neopolydactyla 1,N1944,"USA, Alaska; B. Goffinet 9424; CONN",KX897219,KX869772,KX880213,KX880107,KX897472,KX922921,VIIa
P. neopolydactyla 1,P309,"Canada, Québec; J. Miadlikowska et al. s.n.; DUKE",KX897220,KX869773,KX880214,KX880108,KX897473,KX922922,VIIa
P. neopolydactyla 1,P411,"Russia, Yakutia; T. Ahti 65064; H",KX897221,KX869774,KX880215,KX880109,--,KX922923,VIIa
P. neopolydactyla 1,P844,Norway; N. Magain s.n.; LG,KX897222,--,--,--,--,KX922924,VIIa
P. neopolydactyla 1,P845,Norway; N. Magain s.n.; LG,KX897223,KX869775,KX880216,KX880110,KX897474,KX922925,VIIa
P. neopolydactyla 1,N1939,"USA, Alabama; B. Goffinet 5209; DUKE",KX897224,KX869776,KX880217,KX880111,KX897475,KX922926,VIIb
P. neopolydactyla 1,P640,"USA, North Carolina; J. Miadlikowska et al. s.n.; DUKE",KX897225,KX869777,KX880218,KX880112,KX897476,KX922927,VIIb
P. neopolydactyla 1,P645,"USA, North Carolina; J. Miadlikowska et al. s.n.; DUKE",KX897226,KX869778,KX880219,KX880113,KX897477,KX922928,VIIb
P. neopolydactyla 1,P1252,"USA, Arizona; J. Hollinger 1781; UBC",KX897227,KX869779,KX880220,KX880114,--,KX922929,VIIc
P. neopolydactyla 1b,P325,Peru; E. Gaya 07.14.10-19; DUKE,KX897228,KX869780,KX880221,KX880115,KX897478,KX922930,VIIb
P. neopolydactyla 2,N1913,"China, Yunnan; B. Goffinet 10122; CONN",KX897229,--,--,--,--,KX922931,X
P. neopolydactyla 2,N1914,"China, Yunnan; B. Goffinet 10125; CONN",KX897230,--,--,--,--,KX922932,X
P. neopolydactyla 2,N1916,"China, Yunnan; B. Goffinet 10126; CONN",KX897231,--,--,--,--,KX922933,X
P. neopolydactyla 2,N1926,"China, Yunnan; B. Goffinet 10128; CONN",KX897232,--,--,--,--,KX922934,X
P. neopolydactyla 2,N1927,"China, Yunnan; B. Goffinet 10127; CONN",KX897233,--,--,--,--,KX922935,X
P. neopolydactyla 2,N1929,"China, Yunnan; B. Goffinet 10120; CONN",KX897234,KX869781,KX880222,KX880116,KX897479,KX922936,X
P. neopolydactyla 2,P1183,"Japan, Hokkaido; G. Thor 25759; UPS-552780",KX897235,--,--,--,--,KX922937,XIII
P. neopolydactyla 2,P1322,Norway; N. Magain s.n.; LG,KX897236,--,--,--,--,KX922938,XIII
P. neopolydactyla 2,P384,Norway; N. Magain s.n.; LG,KX897237,KX869782,KX880223,KX880117,KX897480,KX922939,XIII
P. neopolydactyla 2,P386,Norway; N. Magain s.n.; LG,KX897238,--,--,--,--,KX922940,XIII
P. neopolydactyla 2,P821,Norway; N. Magain s.n.; LG,KX897239,--,--,--,--,KX922941,XIII
P. neopolydactyla 2,P846,Norway; N. Magain s.n.; LG,KX897240,--,--,--,--,KX922942,XIII
P. neopolydactyla 2,P1291,"China, Yunnan; J. Miadlikowska et al. s.n.; DUKE",KX897241,--,--,KX880118,--,--,N/A
P. neopolydactyla 2,P1659,"Japan, Hokkaido; G. Thor 25720; UPS-519479",KX897242,KX869783,KX880224,KX880119,--,--,N/A
P. neopolydactyla 2,P1662,"Japan, Hokkaido; A. Frisch 10/Jp410; UPS-522008",KX897243,KX869784,KX880225,KX880120,--,--,N/A
P. neopolydactyla 2,P1667,"Japan, Kochi; G. Thor 2127x; UPS-164500",KX897244,KX869785,KX880226,KX880121,--,--,N/A
P. neopolydactyla 2,P1760,"Japan, Hokkaido; G. Thor 14656; UPS-166427",KX897245,KX869786,--,KX880122,--,--,N/A
P. neopolydactyla 2,P390,Norway; N. Magain s.n.; LG,KX897246,KX869787,KX880227,KX880123,KX897481,--,N/A
P. neopolydactyla 3,P859,Vietnam; Vo T. P. G. G06-NL86B; B-600144665,KX897247,KX869788,KX880228,KX880124,--,KX922943,VIIb
P. neopolydactyla 3,P1283,"China, Yunnan; J. Miadlikowska et al. s.n.; DUKE",KX897248,--,--,--,--,KX922944,X
P. neopolydactyla 4,P1628,"USA, Maine; W. R. Buck 54962; NY-01105128",KX897249,--,--,--,--,KX922945,IV
P. neopolydactyla 4,P1668,"Japan, Hokkaido; G. Thor 24306; UPS-519471",KX897250,KX869789,KX880229,KX880125,KX897482,KX922946,IV
P. neopolydactyla 4,P1675,"Japan, Hokkaido; G. Thor 24336; UPS-519493",KX897251,--,--,--,--,KX922947,IV
P. neopolydactyla 4,P302,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897252,KX869790,KX880230,KX880126,KX897483,KX922948,IV
P. neopolydactyla 4,P321,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897253,KX869791,KX880231,KX880127,KX897484,KX922949,IV
P. neopolydactyla 4,P591,Norway; N. Magain s.n.; LG,KX897254,--,--,--,--,KX922950,IV
P. neopolydactyla 4,P811,Norway; N. Magain s.n.; LG,KX897255,--,--,--,--,KX922951,IV
P. neopolydactyla 4,P1212,Norway; N. Magain s.n.; LG,KX897256,KX869792,KX880232,--,KX897485,KX922952,Xia
P. neopolydactyla 4,P506,Norway; N. Magain s.n.; LG,KX897257,KX869793,KX880233,KX880128,KX897486,KX922953,XIa
P. neopolydactyla 4,P669,Norway; N. Magain s.n.; LG,KX897258,--,--,--,--,KX922954,Xia
P. neopolydactyla 5,P1228,"USA, Oregon; B. McCune 30018; McCune Private Coll.",KX897259,KX869794,KX880234,KX880129,KX897487,KX922955,XIb
P. neopolydactyla 5,P1232,"USA, Oregon; B. McCune 26873; McCune Private Coll.",KX897260,KX869795,--, KX880130,--,KX922956,XIb
P. neopolydactyla 5,P1257,"USA, Oregon; J. Hollinger 1385; UBC",KX897261,KX869796,KX880235,KX880131,KX897488,KX922957,XIb
P. neopolydactyla 5,P1677,"USA, Oregon; B. McCune 26977; McCune Private Coll.",KX897262,--,--,--,--,KX922958,XIb
P. neopolydactyla 6,P1223,"USA, Oregon; McCune Private Coll.",KX897263,--,--,--,--,KX922959,XIII
P. neopolydactyla 6,P1231,"USA, Oregon; B. McCune 24160; McCune Private Coll.",KX897264,KX869797,KX880236,KX880132,--,KX922960,XIII
P. neopolydactyla 6,N1886,"USA, Oregon; B. Goffinet 8056; CONN",KX897265,--,--,--,--,KX922961,XVII
P. neopolydactyla 6,N1888,"USA, Oregon; B. Goffinet 8049; CONN",KX897266,--,--,--,--,KX922962,XVII
P. neopolydactyla 6,P1258,"Canada, British Columbia; C. Björk 17289; UBC",KX897267,--,--,--,--,KX922963,XVII
P. occidentalis,P108,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897268,--,--,--,--,KX922964,VIIa
P. occidentalis,P299,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897269,KX869798,KX880237,KX880133,KX897489,KX922965,VIIa
P. occidentalis,P314,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897270,--,--,--,--,KX922966,VIIa
P. occidentalis,P410,"Russia, Siberia; T. N. Otnyukova s.n.; H",KX897271,--,--,--,--,KX922967,VIIa
P. occidentalis,P543,Norway; N. Magain s.n.; LG,KX897272,KX869799,KX880238,KX880134,KX897490,KX922968,VIIa
P. occidentalis,P571,Norway; N. Magain s.n.; LG,KX897273,--,--,--,--,KX922969,VIIa
P. occidentalis,P853,"USA, Alaska; T. Ahti 63310; H",KX897274,--,--,--,--,KX922970,VIIa
P. occidentalis,P1638,"USA, North Carolina; Richard C. Harris 52559; NY",KX897275,--,--,--,--,KX922971,VIIb
P. occidentalis,P510,Norway; N. Magain s.n.; LG,KX897276,KX869800,KX880239,--,KX897491,--,N/A
P. occidentalis,P521,Norway; N. Magain s.n.; LG,KX897277,KX869801,KX880240,--,KX897492,--,N/A
P. occidentalis,P866,"USA, Alaska; T. Ahti 63231; H",KX897278,KX869802,KX880241,KX880135,KX897493,--,N/A
P. oceanica,P882,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897279,KX869803,--,--,--,--,N/A
P. pacifica,P1240,"Canada, British Columbia; T. Goward 06-23; UBC",KX897280,--,--,--,--,KX922972,XIII
P. pacifica,P1241,"Canada, British Columbia; C. Björk 17500; UBC",KX897281,--,--,--,--,KX922973,XIII
P. pacifica,P1242,"Canada, British Columbia; T. Goward 06-1133; UBC",KX897282,--,--,--,--,KX922974,XIII
P. pacifica,P1243,"Canada, British Columbia; T. Goward 06-1522; UBC",KX897283,KX869804,KX880242,KX880136,KX897494,KX922975,XIII
P. pacifica,P443,"Canada, British Columbia; O. Vitikainen 13080; H",KX897284,666666883,666667207,666666975,666667085,--,N/A
P. polydactylon,N2069,Norway; J. Holtan-Hartwig 528; O,KX365447,KX365455,KX880243,KX365467,--,KX922976,V
P. polydactylon,P1213,Norway; N. Magain s.n.; LG,KX897285,--,--,--,--,KX922977,V
P. polydactylon,P1235,"USA, Alaska; B. McCune 26434; McCune Private Coll.",KX897286,--,--,--,--,KX922978,V
P. polydactylon,P385,Norway; N. Magain s.n.; LG,KX365448,666666886,666667319,666666971,666667083,KX922979,V
P. polydactylon,P388,Norway; N. Magain s.n.; LG,KX365449,KX365456,KX365461,KX365468,KX897495,KX922980,V
P. polydactylon,P682,Norway; N. Magain s.n.; LG,KX897287,--,--,--,--,KX922981,V
P. polydactylon,P71,"USA, New Mexico; J. Hollinger 2462; DUKE",KX365444,KX365452,KX365459,KX365464,KX897496,KX922982,V
P. polydactylon,P816,Norway; N. Magain s.n.; LG,KX897288,--,--,--,--,KX922983,V
P. polydactylon,P833,Norway; N. Magain s.n.; LG,KX897289,--,--,--,--,KX922984,V
P. polydactylon,P856,Iran; A. A. Maassoumi 573; B-600114374,KX365446,KX365454,--,KX365466,--,KX922985,V
P. polydactylon,P1234,"USA, Montana; B. McCune 29108; McCune Private Coll.",KX365445,KX365453,KX365460,KX365465,--,--,N/A
P. pulverulenta 1,P890,Bolivia; M. Kukwa 8536; UGDA-17702,KX897290,KX869805,KX880244,KX880137,KX897497,KX922986,HT41
P. pulverulenta 1,P897,Mexico; M. A. Herrera-Campos 122; MEXU,KX897291,--,--,--,--,KX922987,XIX
P. pulverulenta 1,P1566,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34566",KX897292,--,--,--,--,KX922988,XIX
P. pulverulenta 1,P1572,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34445",KX897293,--,--,--,--,KX922989,XIXb
P. pulverulenta 1,P928,Colombia; R. Lücking MPNNC214; UDBC,KX897294,--,--,--,--,KX922990,XV
P. pulverulenta 1,P901,Colombia; R. Lücking 33383; UDBC,KX897295,KX869806,KX880245,KX880138,--,--,N/A
P. pulverulenta 1,P938,Colombia; R. Lücking 33321; UDBC,KX897296,KX869807,KX880246,KX880139,--,--,N/A
P. pulverulenta 1,P945,Colombia; R. Lücking 33691; UDBC,KX897297,KX869808,KX880247,KX880140,KX897498,--,N/A
P. pulverulenta 2,P1521,Colombia; R. Lücking 34028; UDBC,KX897298,KX869809,KX880248,KX880141,KX897499,KX922991,XIXa
P. pulverulenta 2,P900,Colombia; R. Lücking 33367; UDBC,KX897299,KX869810,KX880249,KX880142,KX897500,KX922992,XIX 
P. pulverulenta 3,P1522,Colombia; R. Lücking 34033; UDBC,KX897300,KX869811,KX880250,KX880144,KX897501,KX922993,HT34
P. scabrosa 1,P1210,Norway; N. Magain s.n.; LG,KX897301,KX869812,KX880251,KX880145,--,KX922994,VIIa
P. scabrosa 1,P1250,"Canada, Alberta; J. Hollinger 1066; UBC",KX897302,KX869813,KX880252,KX880146,KX897502,KX922995,VIIa
P. scabrosa 1,P1539,"Russia, Siberia; J. Miadlikowska et al. s.n.; DUKE",KX897303,--,--,--,--,KX922996,VIIa
P. scabrosa 1,P306,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897304,--,--,--,--,KX922997,VIIa
P. scabrosa 1,P311,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897305,--,--,--,--,KX922998,VIIa
P. scabrosa 1,P93,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897306,--,--,--,--,KX922999,VIIa
P. scabrosa 1,P97,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897307,KX869814,KX880253,KX880147,KX897503,KX923000,VIIa
P. scabrosa 1,P550,Norway; N. Magain s.n.; LG,KX897308,KX869815,KX880254,KX880148,KX897504,--,N/A
P. scabrosa 2,P1328,"Canada, Nunavik; J. Gagnon; QFA-0594938",KX897401,--,--,--,--,KX923001,VIId
P. scabrosa 2,P1721,Greenland; E. Sérusiaux s.n.; LG,KX897309,--,--,--,--,KX923002,VIId
P. scabrosa 2,P107,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897310,666666890,666667197,666666913,666667075,KX923003,XIa
P. scabrosa 2,P113,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897311,KX869816,KX880255,KX880149,KX897505,KX923004,XIa
P. scabrosa 2,P1209,Norway; N. Magain s.n.; LG,KX897312,KX869817,KX880256,KX880150,KX897506,KX923005,XIa
P. scabrosa 2,P1255,"Canada, BC; C. Björk 16230; UBC",KX897313,KX869818,KX880257,KX880151,KX897507,KX923006,XIa
P. scabrosa 2,P1540,"Russia, Siberia; J. Miadlikowska et al. s.n.; DUKE",KX897314,--,--,--,--,KX923007,XIa
P. scabrosa 2,P296,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897315,--,--,--,--,KX923008,XIa
P. scabrosa 2,P520,Norway; N. Magain s.n.; LG,KX897316,--,--,--,--,KX923009,XIa
P. scabrosa 2,P617,Norway; N. Magain s.n.; LG,KX897317,--,--,--,--,KX923010,XIa
P. scabrosa 2,P830,Norway; N. Magain s.n.; LG,KX897318,--,--,--,--,KX923011,XIa
P. scabrosa 3,P865,"Russia, Yakutia; T. Ahti 65068; H",KX897319,KX869819,KX880258,KX880152,KX897508,KX923012,VIIa
P. scabrosa 3,N1236,Greenland; E. Sérusiaux s.n.; LG,KX897320,KX869820,KX880259,KX880153,KX897509,KX923013,VIIc
P. scabrosa 3,P1536,"Russia, Siberia; J. Miadlikowska et al. s.n.; DUKE",KX897321,--,--,--,--,KX923014,X
P. scabrosa 3,P1538,"Russia, Siberia; J. Miadlikowska et al. s.n.; DUKE",KX897322,--,--,--,--,KX923015,X
P. scabrosa 4,P312,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897323,KX869821,KX880260,KX880154,KX897510,KX923016,VIIa
P. scabrosa 4,P315,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897324,KX869822,KX880261,KX880155,--,KX923017,VIIa
P. scabrosa 4,P318,"Canada, Québec; F. Lutzoni et al. s.n.; DUKE",KX897325,--,--,--,--,KX923018,VIIa
P. scabrosa 4,P529,Norway; N. Magain s.n.; LG,KX897326,--,--,--,--,KX923019,VIIa
P. scabrosa 4,P549,Norway; N. Magain s.n.; LG,KX897327,KX869823,KX880262,KX880156,KX897511,KX923020,VIIa
P. scabrosella,P391,Norway; N. Magain s.n.; LG,KX897328,--,--,--,--,KX923021,XIa
P. scabrosella,P514,Norway; N. Magain s.n.; LG,KX897329,--,--,--,--,KX923022,XIa
P. scabrosella,P619,Norway; N. Magain s.n.; LG,KX897330,--,--,--,--,KX923023,XIa
P. scabrosella,P854,Greenland; E. S. Hansen; H-548,KX897331,--,--,--,--,KX923024,XIa
P. scabrosella,P536,Norway; N. Magain s.n.; LG,KX897332,KX869824,KX880263,KX880157,KX897512,--,N/A
P. sp.,N1750,Unknown; J. Santosh s.n.; J. Santosh Private Coll.,--,--,--,--,--,KX923025,HT39
P. sp. 1,P905,Colombia; R. Lücking 33334; UDBC,KX897333,--,--,--,--,KX923026,HT40
P. sp. 1,P889,Bolivia; M. Kukwa 9440; UGDA-17715,KX897334,--,--,--,--,KX923027,XIX
P. sp. 1,P885,Bolivia; M. Kukwa 9276; UGDA-17710,KX897335,KX869825,KX880264,KX880158,KX897513,KX923028,XIXc
P. sp. 1,P886,Bolivia; M. Kukwa 9327; UGDA-17713,KX897336,KX869826,KX880265,KX880159,KX897514,KX923029,XIXc
P. sp. 1,P909,Colombia; R. Lücking 33339; UDBC,KX897337,KX869827,--,KX880160,--,--,N/A
P. sp. 2a,P1555,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34544",KX897338,KX869828,KX880266,KX880161,KX897515,KX923030,XIXb
P. sp. 2a,P1570,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS- 34526",KX897339,--,--,--,--,KX923031,XIXb
P. sp. 2a,P907,Colombia; R. Lücking 33361; UDBC,KX897340,KX869829,KX880267,KX880162,--,KX923032,XV
P. sp. 2b,P1561,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34399",KX897341,--,--,--,--,KX923033,V
P. sp. 2b,P1557,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS- 34562",KX897342,KX869830,KX880268,KX880163,KX897516,KX923034,XIXd
P. sp. 2b,P1583,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS- 34428",KX897343,--,--,--,--,KX923035,XIXd
P. sp. 3,P611,New Zealand; F. Högnabba 1746; H,KX897344,--,--,--,--,KX923036,V
P. sp. 3,P612,New Zealand; F. Högnabba 1471; H,KX897345,--,--,--,--,KX923037,X
P. sp. 3,P604,New Zealand; F. Högnabba 1538; H,KX897346,KX869831,KX880269,KX880164,KX897517,KX923038,XX
P. sp. 3,P606,New Zealand; S. Stenroos 5942; H,KX897347,--,--,--,--,KX923039,XX
P. sp. 3,P607,New Zealand; S. Stenroos 5820; H,KX897348,KX869832,KX880270,KX880165,KX897518,KX923040,XX
P. sp. 3,P608,New Zealand; S. Stenroos 5830; H,KX897349,--,--,--,--,KX923041,XX
P. sp. 3,P610,New Zealand; F. Högnabba 1575; H,KX897350,--,--,--,--,KX923042,XX
P. sp. 3,P1530,New Zealand; D. Blanchon s.n.; DUKE,KX897351,KX869833,KX880271,KX880166,KX897519,--,N/A
P. sp. 3,P605,New Zealand; S. Stenroos 5815; H,KX897352,KX869834,KX880272,KX880167,KX897520,--,N/A
P. sp. 4,N1534,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897353,KX869835,KX880273,KX880168,--,KX923043,VIIb
P. sp. 5,N1545,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897354,KX869836,KX880274,--,KX897521,KX923044,HT32
P. sp. 5,P1716,Papua New Guinea; E. Sérusiaux s.n.; LG,KX897355,--,--,--,--,KX923045,X
P. sp. 6,P1734,Peru; N. Magain s.n.; DUKE,KX897356,--,--,--,--,KX923046,HT35
P. sp. 6,P1650,Honduras; B. Allen 17790; NY,KX897357,KX869837,KX880275,KX880169,--,KX923047,HT44
P. sp. 6,P1733,Peru; J. Miadlikowska et al. s.n.; DUKE,KX897358,--,--,--,--,KX923048,HT46
P. sp. 6,P936,Colombia; R. Lücking 33659; UDBC,KX897359,KX869838,KX880276,KX880170,--,KX923049,XIXb
P. sp. 6,P942,Colombia; R. Lücking 33658; UDBC,KX897360,--,--,--,--,KX923050,XIXb
P. sp. 7a,N1674,"Canada, British Columbia; T. Tönsberg 20742; BG-34877",KX897361,--,--,--,--,KX923051,XIa
P. sp. 7a,N1887,"USA, Oregon; B. Goffinet 7966; CONN",KX897362,--,--,--,--,KX923052,XIa
P. sp. 7a,N1932,"Canada, British Columbia; B. Goffinet 3167; CONN",KX897363,--,--,--,--,KX923053,XIa
P. sp. 7a,N1666,"Canada, BC; T. Tönsberg 20741; BG-34876",KX897364,KX869839,KX880277,KX880171,KX897522,--,N/A
P. sp. 7b,P1660,"Japan, Hokkaido; G. Thor 25408; UPS-519475",KX897365,KX869840,KX880278,KX880172,--,KX923054,XIa
P. sp. 7b,P1672,"Japan, Hokkaido; G. Thor; UPS",KX897366,--,--,--,--,KX923055,XIa
P. sp. 7b,P1674,"Japan, Hokkaido; G. Thor 25401; UPS-519496",KX897367,--,--,--,--,KX923056,XIa
P. sp. 8,N1947,"China, Yunnan; B. Goffinet 9978; CONN",KX897368,--,--,--,--,KX923057,HT31
P. sp. 8,P1272,"China, Jilin; M. Sohrabi 16572; M. Sohrabi Private Coll.",KX897369,KX869841,KX880279,KX880173,KX897523,KX923058,HT43
P. sp. 8,N1920,"China, Yunnan; B. Goffinet 9983; CONN",KX897370,--,--,--,--,KX923059,HT47
P. sp. 8,N1754,South Korea; J. Santosh 090187; J. Santosh Private Coll.,KX897371,--,--,--,--,KX923060,VIIIa
P. sp. 8,N1897,"China, Yunnan; B. Goffinet 10060; CONN",KX897372,--,--,--,--,KX923061,VIIIa
P. sp. 8,N1898,"China, Yunnan; B. Goffinet 10063; CONN",KX897373,KX869842,KX880280,KX880174,KX897524,KX923062,VIIIa
P. sp. 8,N1900,"China, Yunnan; B. Goffinet 10102; CONN",KX897374,--,--,--,--,KX923063,VIIIa
P. sp. 8,N1922,"China, Yunnan; B. Goffinet 10072; CONN",KX897375,KX869843,KX880281,KX880175,KX897525,KX923064,VIIIa
P. sp. 8,N1924,"China, Yunnan; B. Goffinet 10095; CONN",KX897376,KX869844,KX880282,KX880176,KX897526,KX923065,VIIIa
